PROVINCIA,MUNICIPIO,CODPARCELA,FECHA,_103_Fenología_B2_Yema_hinchada_,_104_Fenología_C_Punta_verde_,_105_Fenología_D_Hojas_incipientes_,_106_Fenología_E_Hojas_extendidas_,_301_Araña_a_T_urticae_cepas_con_presencia,_302_Araña_a_T_urticae_hojas_inferior_con_presencia,_317_Erinosis_E_vitis_cepas_con_presencia,_401_Lobesia_n_adultos_trampa_feromona_y_día,_405_Lobesia_racimos_con_puestas,_001_Gusanos_grises_yemas_con_daño,_101_Altica_n_de_adultos_hojas,_406_Caracoles_hojas_y_brotes_dañados,_409_Oruga_peluda_yemas_con_larvas,_418_Roedores_cepas_afectadas
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-07-22T00:00:00,,,,,12,8,4,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-07-29T00:00:00,,,,,12,4,4,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-08-26T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-09-02T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-09-10T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-09-16T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-09-22T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-09-30T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-03-24T00:00:00,1,2,1,1,0,0,0,0,0,0,0,,,0
Cádiz,Arcos de la Frontera,015-00005-01,2010-04-07T00:00:00,1,1,1,2,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-04-14T00:00:00,,1,1,1,0,0,0,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-04-21T00:00:00,,1,1,1,0,0,0,0.01,0,,0.01,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-04-28T00:00:00,,,1,1,0,0,0,0,0,,0.1,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-05-04T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-05-12T00:00:00,,,,,0,0,0,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-05-19T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-05-25T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-06-02T00:00:00,,,,,8,4,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-06-09T00:00:00,,,,,4,1,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-06-16T00:00:00,,,,,4,1,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-06-23T00:00:00,,,,,16,4,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-06-30T00:00:00,,,,,12,8,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-07-14T00:00:00,,,,,4,1,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-07-21T00:00:00,,,,,4,1,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-07-28T00:00:00,,,,,4,1,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-08-11T00:00:00,,,,,4,1,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-08-18T00:00:00,,,,,4,1,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-09-01T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-09-08T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-09-15T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-01,2010-09-29T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-03-24T00:00:00,1,2,1,1,0,0,0,0,0,0,0,,,0
Cádiz,Arcos de la Frontera,016-00002-03,2010-04-07T00:00:00,1,1,1,2,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-04-14T00:00:00,,1,1,1,0,0,0,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-04-21T00:00:00,,1,1,1,0,0,0,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-04-28T00:00:00,,,1,1,0,0,0,0,0,,0.1,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-05-04T00:00:00,,,,,0,0,0,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-05-12T00:00:00,,,,,0,0,0,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-05-19T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-05-25T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-06-02T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-06-09T00:00:00,,,,,4,1,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-06-16T00:00:00,,,,,12,4,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-06-23T00:00:00,,,,,32,10,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-06-30T00:00:00,,,,,12,4,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-07-14T00:00:00,,,,,4,1,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-07-21T00:00:00,,,,,4,1,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-07-28T00:00:00,,,,,4,1,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-08-11T00:00:00,,,,,8,4,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-08-18T00:00:00,,,,,4,2,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-09-01T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-09-08T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-09-15T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2010-09-29T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-03-30T00:00:00,1,1,2,1,0,0,0,0,0,0,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-04-06T00:00:00,,1,1,2,0,0,0,0,0,0,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-04-13T00:00:00,,,,1,0,0,0,0,0,0,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-04-19T00:00:00,,,,,0,0,0,0,0,0,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-04-27T00:00:00,,,,,,,,,,,,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-05-04T00:00:00,,,,,0,0,,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-05-10T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-05-18T00:00:00,,,,,6,1,,,0,,0.2,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-05-31T00:00:00,,,,,8,4,,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-06-02T00:00:00,,,,,8,4,,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-06-08T00:00:00,,,,,8,4,,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-06-15T00:00:00,,,,,16,4,,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-06-22T00:00:00,,,,,16,4,,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-06-28T00:00:00,,,,,8,4,,,0,,0.9,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-07-13T00:00:00,,,,,8,4,,,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-07-20T00:00:00,,,,,4,1,,,0,,0.1,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-07-27T00:00:00,,,,,4,1,,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-08-03T00:00:00,,,,,12,8,,,0,,0.1,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-08-17T00:00:00,,,,,12,12,,,0,,0.1,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-09-07T00:00:00,,,,,0,0,,,,,0.1,,,
Cádiz,Arcos de la Frontera,016-00002-03,2011-09-14T00:00:00,,,,,0,0,,,,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-04-25T00:00:00,,,1,1,0,0,0,0,,0,0,,,0
Cádiz,Arcos de la Frontera,016-00002-03,2012-05-02T00:00:00,,,,1,0,0,0,,,0,0.01,,,0
Cádiz,Arcos de la Frontera,016-00002-03,2012-05-08T00:00:00,,,,,0,0,0,,,,0,,,0
Cádiz,Arcos de la Frontera,016-00002-03,2012-05-16T00:00:00,,,,,0,0,1,,,,0,,,0
Cádiz,Arcos de la Frontera,016-00002-03,2012-05-22T00:00:00,,,,,4,1,0,,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-05-30T00:00:00,,,,,8,4,0,,0,,0.01,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-06-06T00:00:00,,,,,12,6,0,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-06-13T00:00:00,,,,,12,8,0,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-06-20T00:00:00,,,,,12,8,0,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-06-27T00:00:00,,,,,12,8,4,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-07-04T00:00:00,,,,,12,8,4,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-07-11T00:00:00,,,,,12,8,4,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-07-18T00:00:00,,,,,12,8,4,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-07-24T00:00:00,,,,,12,4,4,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-08-01T00:00:00,,,,,12,8,4,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-08-08T00:00:00,,,,,12,10,1,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-08-28T00:00:00,,,,,12,4,4,,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-09-12T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-09-18T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,016-00002-03,2012-09-26T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-03-18T00:00:00,1,2,1,,,,,0,,0,,,0,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-03-26T00:00:00,1,2,1,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-04-02T00:00:00,,1,1,2,0,0,1,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-04-09T00:00:00,,1,1,1,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-04-23T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-04-29T00:00:00,,,,,0,0,0,0,0,,1,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-05-07T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-05-13T00:00:00,,,,,4,4,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-05-28T00:00:00,,,,,4,4,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-06-04T00:00:00,,,,,4,4,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-06-11T00:00:00,,,,,4,4,0,0,0,,4,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-06-18T00:00:00,,,,,6,4,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-07-02T00:00:00,,,,,10,4,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-07-09T00:00:00,,,,,4,2,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-07-16T00:00:00,,,,,4,2,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-07-23T00:00:00,,,,,4,2,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-07-29T00:00:00,,,,,4,2,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-08-06T00:00:00,,,,,4,2,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-08-13T00:00:00,,,,,4,2,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-09-03T00:00:00,,,,,4,2,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-09-17T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-09-23T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2008-10-01T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-03-25T00:00:00,1,2,1,1,0,0,0,0,0,0,0,0,0,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-04-07T00:00:00,,1,1,1,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-04-22T00:00:00,,,1,1,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-04-29T00:00:00,,,,1,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-05-06T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-05-20T00:00:00,,,,,4,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-05-27T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-06-03T00:00:00,,,,,0,0,4,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-06-10T00:00:00,,,,,4,4,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-06-17T00:00:00,,,,,8,4,4,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-06-24T00:00:00,,,,,8,4,4,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-07-01T00:00:00,,,,,12,4,4,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-07-15T00:00:00,,,,,8,4,4,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-07-22T00:00:00,,,,,4,4,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-07-29T00:00:00,,,,,4,4,4,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-08-26T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-09-02T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-09-10T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-09-16T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-09-22T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2009-09-30T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-03-24T00:00:00,1,2,1,1,0,0,0,0,0,0,0,,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-04-07T00:00:00,1,1,1,2,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-04-14T00:00:00,1,1,1,2,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-04-21T00:00:00,,1,1,1,0,0,0,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-04-28T00:00:00,,,1,1,0,0,0,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-05-04T00:00:00,,,,,0,0,0,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-05-12T00:00:00,,,,,0,0,0,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-05-19T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-05-25T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-06-02T00:00:00,,,,,8,4,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-06-09T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-06-16T00:00:00,,,,,4,1,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-06-23T00:00:00,,,,,20,10,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-06-30T00:00:00,,,,,20,10,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-07-14T00:00:00,,,,,12,4,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-07-21T00:00:00,,,,,4,1,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-07-28T00:00:00,,,,,8,2,,0,0,,0.01,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-08-11T00:00:00,,,,,8,4,,0,0,,0.1,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-08-18T00:00:00,,,,,8,4,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-09-01T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-09-08T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-09-15T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2010-09-29T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-03-30T00:00:00,1,1,2,1,0,0,0,0,0,0,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-04-06T00:00:00,,1,2,1,0,0,0,0,0,0,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-04-13T00:00:00,,,,1,0,0,0,0,0,0,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-04-19T00:00:00,,,,,0,0,0,0,0,0,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-04-27T00:00:00,,,,,0,0,0,0,0,0,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-05-04T00:00:00,,,,,0,0,,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-05-10T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-05-18T00:00:00,,,,,0,0,,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-05-31T00:00:00,,,,,4,1,,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-06-02T00:00:00,,,,,4,1,,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-06-15T00:00:00,,,,,4,1,,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-06-22T00:00:00,,,,,4,1,,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-06-28T00:00:00,,,,,8,4,,,0,,0.01,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-07-13T00:00:00,,,,,4,2,,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-07-20T00:00:00,,,,,4,0,,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-08-03T00:00:00,,,,,4,1,,,0,,0.1,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-08-17T00:00:00,,,,,4,1,,,0,,1,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-09-07T00:00:00,,,,,0,0,,,,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2011-09-14T00:00:00,,,,,0,0,,,,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-04-12T00:00:00,,1,1,1,0,0,0,0,,0,0,,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-04-25T00:00:00,,,,1,0,0,0,0,,0,0.01,,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-05-02T00:00:00,,,,,0,0,0,,,0,0,,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-05-08T00:00:00,,,,,0,0,0,,,,0,,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-05-16T00:00:00,,,,,0,0,0,,0,,0,,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-05-22T00:00:00,,,,,0,0,0,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-05-30T00:00:00,,,,,0,0,0,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-06-06T00:00:00,,,,,6,4,0,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-06-13T00:00:00,,,,,4,1,0,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-06-20T00:00:00,,,,,8,4,0,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-06-27T00:00:00,,,,,8,4,4,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-07-04T00:00:00,,,,,8,4,4,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-07-11T00:00:00,,,,,8,4,4,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-07-18T00:00:00,,,,,8,4,4,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-07-24T00:00:00,,,,,4,1,0,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-08-01T00:00:00,,,,,4,1,0,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-08-08T00:00:00,,,,,4,1,1,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-08-28T00:00:00,,,,,4,1,4,,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-09-12T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-09-18T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2012-09-26T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-04-17T00:00:00,,,1,1,0,0,0,0,,0,0,0,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-04-24T00:00:00,,,1,1,4,0,0,0,0,0,0,4,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-04-30T00:00:00,,,1,1,4,1,0,0,0,0,0,0,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-05-07T00:00:00,,,,,0,0,0,0,0,0,0,0,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-05-22T00:00:00,,,,,4,1,0,,0,0,0,0,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-05-29T00:00:00,,,,,4,1,0,,0,0,0,0,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-06-05T00:00:00,,,,,4,1,0,,0,0,0,0,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-06-11T00:00:00,,,,,4,1,0,,0,0,0,0,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-06-19T00:00:00,,,,,4,1,0,,0,0,0,0,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-06-26T00:00:00,,,,,4,1,0,,0,0,0,0,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-07-17T00:00:00,,,,,4,2,0,,0,0,0,0,,0
Cádiz,Arcos de la Frontera,018-00008-00-00,2013-07-24T00:00:00,,,,,8,4,4,,0,0,0,0,,0
