Gene stable ID	UniProtKB/Swiss-Prot ID
ENSMUSG00000029821	Q9Z2D3
ENSMUSG00000083628	
ENSMUSG00000055301	Q64437
ENSMUSG00000055555	
ENSMUSG00000056050	
ENSMUSG00000005103	O88342
ENSMUSG00000054827	Q91X77
ENSMUSG00000030788	Q99MB7
ENSMUSG00000063446	Q8BFZ2
ENSMUSG00000005103	
ENSMUSG00000037846	Q14B46
ENSMUSG00000048285	Q8C0V9
ENSMUSG00000024240	Q8C9X6
ENSMUSG00000035179	
ENSMUSG00000030386	
ENSMUSG00000051951	Q5GH67
ENSMUSG00000040136	
ENSMUSG00000030120	
ENSMUSG00000028435	Q8R2N1
ENSMUSG00000012042	
ENSMUSG00000056281	
ENSMUSG00000074655	
ENSMUSG00000094757	
ENSMUSG00000089901	
ENSMUSG00000094558	
ENSMUSG00000062200	
ENSMUSG00000037846	
ENSMUSG00000095363	
ENSMUSG00000109166	
ENSMUSG00000059447	Q99JY0
ENSMUSG00000030094	P51612
ENSMUSG00000049528	
ENSMUSG00000024240	
ENSMUSG00000059447	
ENSMUSG00000030094	
ENSMUSG00000059371	
ENSMUSG00000078630	A1Y9I9
ENSMUSG00000029923	P35294
ENSMUSG00000020599	O54828
ENSMUSG00000040653	Q8R4S0
ENSMUSG00000040653	
ENSMUSG00000020599	
ENSMUSG00000053961	
ENSMUSG00000053852	B7ZCC9
ENSMUSG00000076563	P01642
ENSMUSG00000041343	Q3V096
ENSMUSG00000029765	Q80UG2
ENSMUSG00000095745	
ENSMUSG00000057723	Q61897
ENSMUSG00000053852	
ENSMUSG00000054727	
ENSMUSG00000044258	P12399
ENSMUSG00000046486	
ENSMUSG00000041343	
ENSMUSG00000094241	
ENSMUSG00000095619	
ENSMUSG00000001158	Q8K194
ENSMUSG00000073811	Q80SS5
ENSMUSG00000084136	
ENSMUSG00000030385	
ENSMUSG00000048919	
ENSMUSG00000052182	
ENSMUSG00000072598	
ENSMUSG00000023000	Q61488
ENSMUSG00000059334	Q5ISE2
ENSMUSG00000078713	B1AXP6
ENSMUSG00000030917	Q922Z1
ENSMUSG00000035759	Q9DBI2
ENSMUSG00000094535	
ENSMUSG00000076564	
ENSMUSG00000023000	
ENSMUSG00000037347	Q9EP78
ENSMUSG00000052625	
ENSMUSG00000030120	Q99KX1
ENSMUSG00000047161	Q76EC5
ENSMUSG00000019235	Q8R2S1
ENSMUSG00000039652	
ENSMUSG00000094094	
ENSMUSG00000022261	P43407
ENSMUSG00000095806	
ENSMUSG00000017400	Q8R1B0
ENSMUSG00000044156	Q4VAH7
ENSMUSG00000047161	
ENSMUSG00000019235	
ENSMUSG00000024769	Q80UW5
ENSMUSG00000096002	
ENSMUSG00000017400	
ENSMUSG00000045479	
ENSMUSG00000044156	
ENSMUSG00000039652	Q7TN99
ENSMUSG00000033557	Q8VCS3
ENSMUSG00000072258	
ENSMUSG00000026875	P39428
ENSMUSG00000075194	
ENSMUSG00000030173	Q60652
ENSMUSG00000023206	Q60819
ENSMUSG00000030173	
ENSMUSG00000051528	
ENSMUSG00000024728	
ENSMUSG00000031557	Q9ERS5
ENSMUSG00000000811	
ENSMUSG00000006057	Q9CR84
ENSMUSG00000094739	
ENSMUSG00000036905	P14106
ENSMUSG00000094546	
ENSMUSG00000031557	
ENSMUSG00000026875	
ENSMUSG00000020611	P27601
ENSMUSG00000020611	
ENSMUSG00000060317	Q8BGG9
ENSMUSG00000060317	
ENSMUSG00000051160	
ENSMUSG00000021286	Q8VCM3
ENSMUSG00000079519	
ENSMUSG00000073979	
ENSMUSG00000001827	P35846
ENSMUSG00000095667	
ENSMUSG00000007872	P41133
ENSMUSG00000021286	
ENSMUSG00000073978	
ENSMUSG00000099550	
ENSMUSG00000038763	
ENSMUSG00000034359	
ENSMUSG00000073977	
ENSMUSG00000054753	
ENSMUSG00000034359	A7XUX6
ENSMUSG00000004791	
ENSMUSG00000019923	Q9CQU5
ENSMUSG00000031533	Q61733
ENSMUSG00000004791	P49764
ENSMUSG00000025151	Q9QYH6
ENSMUSG00000019923	
ENSMUSG00000096593	
ENSMUSG00000040957	
ENSMUSG00000020027	
ENSMUSG00000040957	Q9ESJ1
ENSMUSG00000025013	Q9WVM6
ENSMUSG00000044258	
ENSMUSG00000035651	
ENSMUSG00000026072	P13504
ENSMUSG00000026134	P33610
ENSMUSG00000025013	
ENSMUSG00000026072	
ENSMUSG00000027889	Q9DBT5
ENSMUSG00000030222	Q8R367
ENSMUSG00000096386	
ENSMUSG00000020027	O35717
ENSMUSG00000094545	
ENSMUSG00000114432	
ENSMUSG00000027889	
ENSMUSG00000021285	Q62415
ENSMUSG00000030222	
ENSMUSG00000021285	
ENSMUSG00000039462	Q05306
ENSMUSG00000023206	
ENSMUSG00000114487	
ENSMUSG00000038330	
ENSMUSG00000027776	P43431
ENSMUSG00000027219	O88627
ENSMUSG00000000805	Q64444
ENSMUSG00000114635	
ENSMUSG00000054737	
ENSMUSG00000074874	
ENSMUSG00000039480	
ENSMUSG00000000805	
ENSMUSG00000050530	
ENSMUSG00000005947	Q60677
ENSMUSG00000035582	Q3TT99
ENSMUSG00000030591	
ENSMUSG00000044061	
ENSMUSG00000025402	Q61127
ENSMUSG00000024617	P11798
ENSMUSG00000027932	
ENSMUSG00000095867	
ENSMUSG00000027776	
ENSMUSG00000001827	
ENSMUSG00000063376	Q80SU4
ENSMUSG00000025402	
ENSMUSG00000050931	Q9D4B1
ENSMUSG00000027973	
ENSMUSG00000024617	
ENSMUSG00000039682	Q9CPY7
ENSMUSG00000050931	
ENSMUSG00000024667	Q9CQC4
ENSMUSG00000034333	Q80WQ9
ENSMUSG00000033478	Q8CDM8
ENSMUSG00000030286	Q99KI3
ENSMUSG00000039682	
ENSMUSG00000068823	Q91W50
ENSMUSG00000068823	
ENSMUSG00000033478	
ENSMUSG00000023755	
ENSMUSG00000049573	
ENSMUSG00000028292	Q3U186
ENSMUSG00000020057	
ENSMUSG00000061769	Q60653
ENSMUSG00000030591	Q9CX56
ENSMUSG00000048766	A7TZG1
ENSMUSG00000020057	Q9DC58
ENSMUSG00000030842	Q9CQ22
ENSMUSG00000029415	
ENSMUSG00000048766	
ENSMUSG00000030842	
ENSMUSG00000074874	P12400
ENSMUSG00000034192	P62311
ENSMUSG00000042268	
ENSMUSG00000023755	Q9D8T3
ENSMUSG00000020691	Q8BMK1
ENSMUSG00000014980	
ENSMUSG00000096051	Q9EQ46
ENSMUSG00000028292	
ENSMUSG00000030649	
ENSMUSG00000096051	
ENSMUSG00000038828	Q8BM55
ENSMUSG00000019977	
ENSMUSG00000055762	
ENSMUSG00000038828	
ENSMUSG00000096574	
ENSMUSG00000042414	E9Q3T6
ENSMUSG00000040195	
ENSMUSG00000037419	Q8C522
ENSMUSG00000026258	Q9CXL7
ENSMUSG00000027187	P24270
ENSMUSG00000019977	Q69ZS7
ENSMUSG00000037370	
ENSMUSG00000036528	
ENSMUSG00000028232	Q9D850
ENSMUSG00000037419	
ENSMUSG00000027187	
ENSMUSG00000026830	Q5EBJ4
ENSMUSG00000026923	Q01705
ENSMUSG00000034820	Q8BTV2
ENSMUSG00000036528	O35711
ENSMUSG00000034820	
ENSMUSG00000018983	P56931
ENSMUSG00000028405	P28271
ENSMUSG00000040195	Q6ZQE4
ENSMUSG00000037434	Q60738
ENSMUSG00000035311	
ENSMUSG00000056494	Q9JJZ9
ENSMUSG00000037434	
ENSMUSG00000030649	P60007
ENSMUSG00000026380	Q3UNW5
ENSMUSG00000026923	
ENSMUSG00000026828	Q8C102
ENSMUSG00000028232	
ENSMUSG00000037167	A2AE20
ENSMUSG00000093877	
ENSMUSG00000094746	
ENSMUSG00000050345	Q80UB0
ENSMUSG00000024668	Q8C6I2
ENSMUSG00000019762	Q9DCX8
ENSMUSG00000030851	P00342
ENSMUSG00000024668	
ENSMUSG00000030851	
ENSMUSG00000031130	O54798
ENSMUSG00000023572	Q3TVC7
ENSMUSG00000032758	P61110
ENSMUSG00000048065	Q3KNK3
ENSMUSG00000032758	
ENSMUSG00000023572	
ENSMUSG00000031079	
ENSMUSG00000094762	
ENSMUSG00000020780	Q8BMA6
ENSMUSG00000026999	Q8R4R6
ENSMUSG00000002147	P52633
ENSMUSG00000039480	Q8C5P5
ENSMUSG00000020780	
ENSMUSG00000026999	
ENSMUSG00000042282	Q5SDA5
ENSMUSG00000002147	
ENSMUSG00000027355	Q9D9D5
ENSMUSG00000087194	A7XUZ6
ENSMUSG00000050504	
ENSMUSG00000045374	
ENSMUSG00000027355	
ENSMUSG00000031207	P26041
ENSMUSG00000036231	Q8R3W7
ENSMUSG00000036231	
ENSMUSG00000045374	Q5ND34
ENSMUSG00000037994	
ENSMUSG00000043087	
ENSMUSG00000029191	
ENSMUSG00000062814	
ENSMUSG00000022394	P59178
ENSMUSG00000043485	Q9D646
ENSMUSG00000094586	
ENSMUSG00000022394	
ENSMUSG00000024829	Q9D1N9
ENSMUSG00000039485	Q8VD63
ENSMUSG00000027001	
ENSMUSG00000035311	Q69ZN6
ENSMUSG00000037994	Q5BKR2
ENSMUSG00000064307	
ENSMUSG00000034620	Q8VDX6
ENSMUSG00000020484	O35426
ENSMUSG00000046572	
ENSMUSG00000020484	
ENSMUSG00000024829	
ENSMUSG00000034620	
ENSMUSG00000021177	
ENSMUSG00000031314	Q80UV9
ENSMUSG00000059203	Q9ERS6
ENSMUSG00000036896	Q02105
ENSMUSG00000064307	Q9DAK8
ENSMUSG00000006649	Q9QZS7
ENSMUSG00000078570	B1ARW8
ENSMUSG00000078570	
ENSMUSG00000095011	
ENSMUSG00000031314	
ENSMUSG00000026872	Q9R0G7
ENSMUSG00000071493	
ENSMUSG00000026872	
ENSMUSG00000084883	E9Q6B2
ENSMUSG00000071686	
ENSMUSG00000038388	Q9JLB0
ENSMUSG00000084883	
ENSMUSG00000063765	
ENSMUSG00000006649	
ENSMUSG00000035620	Q80XE1
ENSMUSG00000071491	
ENSMUSG00000078504	
ENSMUSG00000064179	O88346
ENSMUSG00000047667	
ENSMUSG00000035620	
ENSMUSG00000063765	E9Q7T7
ENSMUSG00000062705	
ENSMUSG00000048067	
ENSMUSG00000064179	
ENSMUSG00000096422	
ENSMUSG00000038388	
ENSMUSG00000096649	
ENSMUSG00000020564	Q9CZ05
ENSMUSG00000028890	Q07243
ENSMUSG00000028890	
ENSMUSG00000079852	Q60651
ENSMUSG00000037656	Q80UP8
ENSMUSG00000048217	Q8R4H7
ENSMUSG00000037656	
ENSMUSG00000022315	Q8BGG0
ENSMUSG00000022685	
ENSMUSG00000061489	
ENSMUSG00000093955	
ENSMUSG00000042763	Q6P1J0
ENSMUSG00000064333	
ENSMUSG00000056870	Q8K2A1
ENSMUSG00000039540	
ENSMUSG00000033831	Q8K0E8
ENSMUSG00000020390	P63147
ENSMUSG00000066800	Q05921
ENSMUSG00000056870	
ENSMUSG00000066800	
ENSMUSG00000031534	
ENSMUSG00000038967	Q9JK42
ENSMUSG00000020609	
ENSMUSG00000031534	Q80ZU4
ENSMUSG00000021044	Q9D0L4
ENSMUSG00000028889	Q3U5F4
ENSMUSG00000095538	
ENSMUSG00000028889	
ENSMUSG00000067261	
ENSMUSG00000058499	P02816
ENSMUSG00000060613	Q91W64
ENSMUSG00000058499	
ENSMUSG00000078934	
ENSMUSG00000060613	
ENSMUSG00000029778	P70205
ENSMUSG00000024831	
ENSMUSG00000067524	
ENSMUSG00000067194	Q8BMJ3
ENSMUSG00000020564	
ENSMUSG00000053470	Q6PCM1
ENSMUSG00000042842	
ENSMUSG00000029778	
ENSMUSG00000025512	Q922Q9
ENSMUSG00000039315	Q9QZE2
ENSMUSG00000039315	
ENSMUSG00000091519	A7M7C7
ENSMUSG00000034402	Q920E3
ENSMUSG00000094433	
ENSMUSG00000070985	A2AKK5
ENSMUSG00000053461	Q9D2G9
ENSMUSG00000053291	Q91ZR1
ENSMUSG00000070985	
ENSMUSG00000053470	
ENSMUSG00000078355	
ENSMUSG00000020288	Q8N9S3
ENSMUSG00000070858	Q3UR78
ENSMUSG00000061296	
ENSMUSG00000053291	
ENSMUSG00000078354	
ENSMUSG00000091528	
ENSMUSG00000074681	
ENSMUSG00000025790	Q8R3L5
ENSMUSG00000014104	
ENSMUSG00000032946	Q9QUG9
ENSMUSG00000100079	
ENSMUSG00000063998	
ENSMUSG00000032946	
ENSMUSG00000025790	
ENSMUSG00000020609	E9Q414
ENSMUSG00000070858	
ENSMUSG00000020921	Q91VP7
ENSMUSG00000026407	
ENSMUSG00000071723	Q149F3
ENSMUSG00000058670	
ENSMUSG00000071723	
ENSMUSG00000094700	
ENSMUSG00000021488	
ENSMUSG00000020288	
ENSMUSG00000021411	Q8JZU6
ENSMUSG00000029865	
ENSMUSG00000089661	
ENSMUSG00000002129	Q8K4Z5
ENSMUSG00000067522	
ENSMUSG00000095007	P01635
ENSMUSG00000021411	
ENSMUSG00000089661	Q61865
ENSMUSG00000025512	
ENSMUSG00000102802	
ENSMUSG00000038622	Q9CQI9
ENSMUSG00000020922	
ENSMUSG00000020922	Q9D0R8
ENSMUSG00000028098	Q9D0C1
ENSMUSG00000031381	
ENSMUSG00000020482	Q6PB51
ENSMUSG00000021552	Q9JMB0
ENSMUSG00000028998	Q9D173
ENSMUSG00000094618	
ENSMUSG00000028098	
ENSMUSG00000021076	Q9QZB7
ENSMUSG00000073792	Q3TAE8
ENSMUSG00000070923	Q6ZPT1
ENSMUSG00000021552	
ENSMUSG00000021076	
ENSMUSG00000073792	
ENSMUSG00000095138	
ENSMUSG00000031381	Q64323
ENSMUSG00000049560	Q30KP3
ENSMUSG00000016637	
ENSMUSG00000021171	Q3TZZ7
ENSMUSG00000039814	Q5GH66
ENSMUSG00000016637	Q9D0P8
ENSMUSG00000046999	E9Q0B3
ENSMUSG00000049336	
ENSMUSG00000042292	Q8K4J6
ENSMUSG00000025332	P41230
ENSMUSG00000042292	
ENSMUSG00000039814	
ENSMUSG00000037608	
ENSMUSG00000091411	
ENSMUSG00000095931	
ENSMUSG00000021171	
ENSMUSG00000028115	
ENSMUSG00000094931	
ENSMUSG00000037542	Q8BH00
ENSMUSG00000025332	
ENSMUSG00000038217	Q8VC26
ENSMUSG00000004043	P42230
ENSMUSG00000021987	Q8VE11
ENSMUSG00000026970	Q91W59
ENSMUSG00000004043	
ENSMUSG00000028115	Q99JU7
ENSMUSG00000036887	P98086
ENSMUSG00000068860	Q569E4
ENSMUSG00000029885	Q7TT41
ENSMUSG00000068860	
ENSMUSG00000036591	
ENSMUSG00000020415	Q9CQJ7
ENSMUSG00000027468	Q8BVC1
ENSMUSG00000020801	Q9CXU1
ENSMUSG00000033006	Q04888
ENSMUSG00000026970	
ENSMUSG00000033006	
ENSMUSG00000053574	Q8BGJ3
ENSMUSG00000040812	Q8CDK2
ENSMUSG00000020415	
ENSMUSG00000037608	Q8K019
ENSMUSG00000054312	P58059
ENSMUSG00000054312	
ENSMUSG00000040812	
ENSMUSG00000028575	Q9D9V2
ENSMUSG00000015222	
ENSMUSG00000102045	
ENSMUSG00000042807	Q6I6G8
ENSMUSG00000062833	
ENSMUSG00000050844	
ENSMUSG00000047888	Q8BKI2
ENSMUSG00000050035	
ENSMUSG00000054626	
ENSMUSG00000094051	
ENSMUSG00000047888	
ENSMUSG00000095063	
ENSMUSG00000054626	P05531
ENSMUSG00000026514	
ENSMUSG00000041702	Q8CFE5
ENSMUSG00000027998	Q922V4
ENSMUSG00000027998	
ENSMUSG00000095576	
ENSMUSG00000025511	Q9DCK3
ENSMUSG00000026514	Q6ZWS4
ENSMUSG00000030199	P97360
ENSMUSG00000027742	
ENSMUSG00000052369	
ENSMUSG00000038550	Q3TQ03
ENSMUSG00000025578	Q9QXV1
ENSMUSG00000030199	
ENSMUSG00000022205	P11031
ENSMUSG00000025511	
ENSMUSG00000032193	P35951
ENSMUSG00000028860	
ENSMUSG00000025757	
ENSMUSG00000053678	
ENSMUSG00000057240	Q5FWC3
ENSMUSG00000038550	
ENSMUSG00000048142	
ENSMUSG00000030166	P43352
ENSMUSG00000053695	Q7TMD2
ENSMUSG00000117732	
ENSMUSG00000032649	
ENSMUSG00000032193	
ENSMUSG00000053790	Q7TNV7
ENSMUSG00000032649	Q6NVG7
ENSMUSG00000056342	
ENSMUSG00000028099	Q9D483
ENSMUSG00000076461	
ENSMUSG00000058831	P51491
ENSMUSG00000095075	
ENSMUSG00000006344	Q9Z2A9
ENSMUSG00000052369	Q80VP8
ENSMUSG00000058831	
ENSMUSG00000006344	
ENSMUSG00000075193	
ENSMUSG00000061847	
ENSMUSG00000022359	Q80WB5
ENSMUSG00000030166	
ENSMUSG00000028099	
ENSMUSG00000020044	P39876
ENSMUSG00000101031	
ENSMUSG00000060935	Q9DAM7
ENSMUSG00000056342	Q6ZQ93
ENSMUSG00000022359	
ENSMUSG00000094347	
ENSMUSG00000063904	Q99KK7
ENSMUSG00000020044	
ENSMUSG00000095533	
ENSMUSG00000028960	Q9ES00
ENSMUSG00000063904	
ENSMUSG00000049038	Q8BKY8
ENSMUSG00000020793	O88854
ENSMUSG00000028960	
ENSMUSG00000038543	Q8R2K8
ENSMUSG00000049038	
ENSMUSG00000111732	
ENSMUSG00000036551	
ENSMUSG00000058690	Q3UHI0
ENSMUSG00000054523	
ENSMUSG00000059891	
ENSMUSG00000033156	Q9JM84
ENSMUSG00000058690	
ENSMUSG00000045827	
ENSMUSG00000074680	
ENSMUSG00000042303	Q8VCZ6
ENSMUSG00000066026	O88876
ENSMUSG00000030450	Q62052
ENSMUSG00000029767	
ENSMUSG00000072718	
ENSMUSG00000030450	
ENSMUSG00000059602	Q8JZP2
ENSMUSG00000050625	
ENSMUSG00000042303	
ENSMUSG00000066026	
ENSMUSG00000033295	A2A8L5
ENSMUSG00000025726	
ENSMUSG00000024673	P19437
ENSMUSG00000062098	P58545
ENSMUSG00000006574	P04919
ENSMUSG00000016409	Q9D0F4
ENSMUSG00000021260	Q14DK5
ENSMUSG00000033295	
ENSMUSG00000092297	
ENSMUSG00000043787	
ENSMUSG00000066058	Q9ET38
ENSMUSG00000059602	
ENSMUSG00000062098	
ENSMUSG00000051936	Q8BW11
ENSMUSG00000071490	
ENSMUSG00000067591	Q64329
ENSMUSG00000028228	Q8BT60
ENSMUSG00000094532	
ENSMUSG00000074679	
ENSMUSG00000026029	O89110
ENSMUSG00000028608	Q8BHG2
ENSMUSG00000028608	
ENSMUSG00000026029	
ENSMUSG00000034793	Q6NSQ9
ENSMUSG00000071890	
ENSMUSG00000028661	O09127
ENSMUSG00000030830	
ENSMUSG00000029883	
ENSMUSG00000004798	Q9QY01
ENSMUSG00000052554	Q7TNV8
ENSMUSG00000024806	
ENSMUSG00000059891	O54887
ENSMUSG00000006307	
ENSMUSG00000020694	O55047
ENSMUSG00000006307	O08550
ENSMUSG00000079842	Q8K4N2
ENSMUSG00000026691	P97501
ENSMUSG00000048236	Q7M761
