Gene stable ID	Caenorhabditis elegans gene stable ID	Caenorhabditis elegans orthology confidence [0 low, 1 high]
ENSMUSG00000107320		
ENSMUSG00000094036		
ENSMUSG00000039841		
ENSMUSG00000106410		
ENSMUSG00000106026		
ENSMUSG00000108895		
ENSMUSG00000031583	WBGene00006944	0
ENSMUSG00000067848		
ENSMUSG00000118287		
ENSMUSG00000118340		
ENSMUSG00000030145		
ENSMUSG00000036916		
ENSMUSG00000100069		
ENSMUSG00000112423		
ENSMUSG00000105171		
ENSMUSG00000048652	WBGene00003041	0
ENSMUSG00000048652	WBGene00021661	0
ENSMUSG00000025436		
ENSMUSG00000103740		
ENSMUSG00000031383		
ENSMUSG00000099516		
ENSMUSG00000090305		
ENSMUSG00000105155		
ENSMUSG00000104941		
ENSMUSG00000102379		
ENSMUSG00000024287	WBGene00020172	1
ENSMUSG00000004937	WBGene00006781	0
ENSMUSG00000108770		
ENSMUSG00000087022		
ENSMUSG00000090202	WBGene00001031	0
ENSMUSG00000090202	WBGene00001019	0
ENSMUSG00000090202	WBGene00001044	0
ENSMUSG00000108645		
ENSMUSG00000018379		
ENSMUSG00000032740	WBGene00013082	0
ENSMUSG00000030612	WBGene00021935	1
ENSMUSG00000076862		
ENSMUSG00000086858		
ENSMUSG00000059316	WBGene00008669	0
ENSMUSG00000059316	WBGene00022849	0
ENSMUSG00000059316	WBGene00007082	0
ENSMUSG00000059316	WBGene00009218	0
ENSMUSG00000059316	WBGene00019920	0
ENSMUSG00000059316	WBGene00011173	0
ENSMUSG00000022607		
ENSMUSG00000062078		
ENSMUSG00000085810		
ENSMUSG00000073079	WBGene00009012	0
ENSMUSG00000076863		
ENSMUSG00000030611	WBGene00012244	1
ENSMUSG00000103799		
ENSMUSG00000109171		
ENSMUSG00000076864		
ENSMUSG00000108697		
ENSMUSG00000040274		
ENSMUSG00000108627		
ENSMUSG00000019975		
ENSMUSG00000102546		
ENSMUSG00000105963		
ENSMUSG00000106035		
ENSMUSG00000118214		
ENSMUSG00000087609		
ENSMUSG00000096056		
ENSMUSG00000104650		
ENSMUSG00000093751		
ENSMUSG00000070713		
ENSMUSG00000081788		
ENSMUSG00000076866		
ENSMUSG00000109800		
ENSMUSG00000033510		
ENSMUSG00000076865		
ENSMUSG00000059206		
ENSMUSG00000090572		
ENSMUSG00000097360		
ENSMUSG00000105309		
ENSMUSG00000046321	WBGene00002028	0
ENSMUSG00000079487	WBGene00001081	0
ENSMUSG00000055148		
ENSMUSG00000097920		
ENSMUSG00000108409		
ENSMUSG00000101125		
ENSMUSG00000108351		
ENSMUSG00000108811		
ENSMUSG00000083391		
ENSMUSG00000086946		
ENSMUSG00000085037		
ENSMUSG00000083953		
ENSMUSG00000027312		
ENSMUSG00000112035		
ENSMUSG00000080782		
ENSMUSG00000105534		
ENSMUSG00000086193		
ENSMUSG00000106588		
ENSMUSG00000108536		
ENSMUSG00000071273		
ENSMUSG00000039910		
ENSMUSG00000057890		
ENSMUSG00000091259		
ENSMUSG00000102436		
ENSMUSG00000104296		
ENSMUSG00000103056		
ENSMUSG00000045725		
ENSMUSG00000039246	WBGene00010564	0
ENSMUSG00000059834		
ENSMUSG00000030428	WBGene00009632	0
ENSMUSG00000074254		
ENSMUSG00000085178		
ENSMUSG00000083845		
ENSMUSG00000018476	WBGene00017046	0
ENSMUSG00000018476	WBGene00007813	0
ENSMUSG00000018476	WBGene00017571	0
ENSMUSG00000018476	WBGene00009089	0
ENSMUSG00000108081		
ENSMUSG00000073067		
ENSMUSG00000058571	WBGene00001687	0
ENSMUSG00000026439	WBGene00017683	0
ENSMUSG00000095240		
ENSMUSG00000028745	WBGene00000293	0
ENSMUSG00000101887		
ENSMUSG00000041530	WBGene00004093	0
ENSMUSG00000041530	WBGene00018921	0
ENSMUSG00000041530	WBGene00006449	0
ENSMUSG00000041530	WBGene00011910	0
ENSMUSG00000041530	WBGene00020707	0
ENSMUSG00000041530	WBGene00021711	0
ENSMUSG00000041530	WBGene00007624	0
ENSMUSG00000041530	WBGene00010263	0
ENSMUSG00000041530	WBGene00004094	0
ENSMUSG00000041530	WBGene00011061	0
ENSMUSG00000041530	WBGene00022877	0
ENSMUSG00000099503		
ENSMUSG00000084966		
ENSMUSG00000101015		
ENSMUSG00000055560		
ENSMUSG00000115607		
ENSMUSG00000109747		
ENSMUSG00000100521		
ENSMUSG00000022229	WBGene00015338	0
ENSMUSG00000022229	WBGene00015660	0
ENSMUSG00000022229	WBGene00003153	0
ENSMUSG00000022229	WBGene00019875	0
ENSMUSG00000022229	WBGene00004063	0
ENSMUSG00000022229	WBGene00012341	0
ENSMUSG00000101790		
ENSMUSG00000110097		
ENSMUSG00000086040		
ENSMUSG00000108431		
ENSMUSG00000113869		
ENSMUSG00000113065		
ENSMUSG00000100452		
ENSMUSG00000048264	WBGene00017885	1
ENSMUSG00000109924		
ENSMUSG00000101403		
ENSMUSG00000082736		
ENSMUSG00000024045		
ENSMUSG00000026116	WBGene00016170	0
ENSMUSG00000093537		
ENSMUSG00000000308	WBGene00013894	1
ENSMUSG00000000308	WBGene00009706	1
ENSMUSG00000000308	WBGene00018519	1
ENSMUSG00000000308	WBGene00017975	1
ENSMUSG00000000308	WBGene00021128	1
ENSMUSG00000039891	WBGene00011917	0
ENSMUSG00000114345		
ENSMUSG00000106166		
ENSMUSG00000060701		
ENSMUSG00000045031	WBGene00000285	0
ENSMUSG00000045031	WBGene00000287	0
ENSMUSG00000045031	WBGene00008453	0
ENSMUSG00000045031	WBGene00015264	0
ENSMUSG00000096916		
ENSMUSG00000098781		
ENSMUSG00000117295		
ENSMUSG00000035325	WBGene00011338	0
ENSMUSG00000042848		
ENSMUSG00000081769		
ENSMUSG00000008845		
ENSMUSG00000118421		
ENSMUSG00000108406		
ENSMUSG00000108517		
ENSMUSG00000024471	WBGene00006759	0
ENSMUSG00000024471	WBGene00001000	0
ENSMUSG00000027564		
ENSMUSG00000028048	WBGene00016335	1
ENSMUSG00000028048	WBGene00021160	1
ENSMUSG00000028048	WBGene00016340	1
ENSMUSG00000028048	WBGene00008706	1
ENSMUSG00000037606	WBGene00014215	1
ENSMUSG00000093672		
ENSMUSG00000047879	WBGene00006856	1
ENSMUSG00000059366		
ENSMUSG00000101830		
ENSMUSG00000108421		
ENSMUSG00000108700		
ENSMUSG00000090840		
ENSMUSG00000092353		
ENSMUSG00000072623		
ENSMUSG00000081139		
ENSMUSG00000037708		
ENSMUSG00000002731	WBGene00018857	0
ENSMUSG00000002731	WBGene00022388	0
ENSMUSG00000082896		
ENSMUSG00000108629		
ENSMUSG00000113886		
ENSMUSG00000118520		
ENSMUSG00000114081		
ENSMUSG00000036613	WBGene00013599	1
ENSMUSG00000061947		
ENSMUSG00000112257		
ENSMUSG00000038602	WBGene00022270	1
ENSMUSG00000027722	WBGene00010562	1
ENSMUSG00000022187		
ENSMUSG00000033498		
ENSMUSG00000092075		
ENSMUSG00000111918		
ENSMUSG00000112681		
ENSMUSG00000043445	WBGene00019604	0
ENSMUSG00000043445	WBGene00018424	0
ENSMUSG00000043445	WBGene00016892	0
ENSMUSG00000043445	WBGene00016664	0
ENSMUSG00000112576		
ENSMUSG00000075267		
ENSMUSG00000100322		
ENSMUSG00000103159		
ENSMUSG00000102930		
ENSMUSG00000084099		
ENSMUSG00000103016		
ENSMUSG00000089952		
ENSMUSG00000026963		
ENSMUSG00000095061		
ENSMUSG00000078346		
ENSMUSG00000052942		
ENSMUSG00000098708		
ENSMUSG00000052040		
ENSMUSG00000044030	WBGene00010867	0
ENSMUSG00000044030	WBGene00009939	0
ENSMUSG00000030409	WBGene00010838	0
ENSMUSG00000030409	WBGene00002192	0
ENSMUSG00000030409	WBGene00007047	0
ENSMUSG00000030409	WBGene00011992	0
ENSMUSG00000049184	WBGene00008976	0
ENSMUSG00000049184	WBGene00004046	0
ENSMUSG00000026156	WBGene00011650	0
ENSMUSG00000026156	WBGene00008293	0
ENSMUSG00000026156	WBGene00008160	0
ENSMUSG00000026156	WBGene00019546	0
ENSMUSG00000026156	WBGene00008479	0
ENSMUSG00000026156	WBGene00011781	0
ENSMUSG00000040548	WBGene00018872	0
ENSMUSG00000026344		
ENSMUSG00000114920		
ENSMUSG00000028100		
ENSMUSG00000082381		
ENSMUSG00000070319	WBGene00001230	1
ENSMUSG00000067951		
ENSMUSG00000020849	WBGene00010919	0
ENSMUSG00000030057	WBGene00019537	1
ENSMUSG00000106289		
ENSMUSG00000026155		
ENSMUSG00000105823		
ENSMUSG00000082048		
ENSMUSG00000083635		
ENSMUSG00000116280		
ENSMUSG00000112761		
ENSMUSG00000112878		
ENSMUSG00000026343	WBGene00019616	0
ENSMUSG00000026343	WBGene00016747	0
ENSMUSG00000060245		
ENSMUSG00000001076		
ENSMUSG00000104658		
ENSMUSG00000096176		
ENSMUSG00000027317	WBGene00010109	0
ENSMUSG00000041550		
ENSMUSG00000076867		
ENSMUSG00000037400		
ENSMUSG00000097209		
ENSMUSG00000096749		
ENSMUSG00000018398	WBGene00006795	0
ENSMUSG00000076870		
ENSMUSG00000022382	WBGene00000857	0
ENSMUSG00000022382	WBGene00000858	0
ENSMUSG00000022382	WBGene00003029	0
ENSMUSG00000115689		
ENSMUSG00000022129	WBGene00010060	0
ENSMUSG00000022129	WBGene00016419	0
ENSMUSG00000115952		
ENSMUSG00000040690		
ENSMUSG00000116424		
ENSMUSG00000029260	WBGene00007073	0
ENSMUSG00000029260	WBGene00007072	0
ENSMUSG00000029260	WBGene00007402	0
ENSMUSG00000029260	WBGene00015693	0
ENSMUSG00000029260	WBGene00021709	0
ENSMUSG00000029260	WBGene00011340	0
ENSMUSG00000029260	WBGene00011006	0
ENSMUSG00000029260	WBGene00015141	0
ENSMUSG00000029260	WBGene00015965	0
ENSMUSG00000029260	WBGene00015371	0
ENSMUSG00000029260	WBGene00015369	0
ENSMUSG00000029260	WBGene00017336	0
ENSMUSG00000029260	WBGene00017959	0
ENSMUSG00000029260	WBGene00013905	0
ENSMUSG00000029260	WBGene00015739	0
ENSMUSG00000029260	WBGene00013906	0
ENSMUSG00000029260	WBGene00018206	0
ENSMUSG00000029260	WBGene00010904	0
ENSMUSG00000029260	WBGene00016013	0
ENSMUSG00000029260	WBGene00015694	0
ENSMUSG00000029260	WBGene00015695	0
ENSMUSG00000029260	WBGene00018543	0
ENSMUSG00000029260	WBGene00009255	0
ENSMUSG00000029260	WBGene00044286	0
ENSMUSG00000029260	WBGene00007946	0
ENSMUSG00000029260	WBGene00017329	0
ENSMUSG00000029260	WBGene00017333	0
ENSMUSG00000029260	WBGene00019234	0
ENSMUSG00000029260	WBGene00020594	0
ENSMUSG00000029260	WBGene00020587	0
ENSMUSG00000029260	WBGene00019235	0
ENSMUSG00000029260	WBGene00019233	0
ENSMUSG00000029260	WBGene00019232	0
ENSMUSG00000029260	WBGene00020593	0
ENSMUSG00000029260	WBGene00020592	0
ENSMUSG00000029260	WBGene00044282	0
ENSMUSG00000029260	WBGene00011452	0
ENSMUSG00000029260	WBGene00011453	0
ENSMUSG00000029260	WBGene00015577	0
ENSMUSG00000029260	WBGene00018931	0
ENSMUSG00000029260	WBGene00008097	0
ENSMUSG00000029260	WBGene00007422	0
ENSMUSG00000029260	WBGene00013900	0
ENSMUSG00000029260	WBGene00019516	0
ENSMUSG00000029260	WBGene00019515	0
ENSMUSG00000029260	WBGene00007885	0
ENSMUSG00000029260	WBGene00007455	0
ENSMUSG00000029260	WBGene00012788	0
ENSMUSG00000029260	WBGene00017332	0
ENSMUSG00000029260	WBGene00017315	0
ENSMUSG00000029260	WBGene00017334	0
ENSMUSG00000029260	WBGene00017331	0
ENSMUSG00000029260	WBGene00008486	0
ENSMUSG00000029260	WBGene00015449	0
ENSMUSG00000006276		
ENSMUSG00000101505		
ENSMUSG00000060181		
ENSMUSG00000109750		
ENSMUSG00000099801		
ENSMUSG00000084942		
ENSMUSG00000039543		
ENSMUSG00000020783		
ENSMUSG00000104876		
ENSMUSG00000027380	WBGene00016943	0
ENSMUSG00000027380	WBGene00015894	0
ENSMUSG00000027380	WBGene00020366	0
ENSMUSG00000027380	WBGene00019406	0
ENSMUSG00000027380	WBGene00008566	0
ENSMUSG00000027380	WBGene00008567	0
ENSMUSG00000027380	WBGene00008565	0
ENSMUSG00000027380	WBGene00008564	0
ENSMUSG00000076873		
ENSMUSG00000044164		
ENSMUSG00000106112		
ENSMUSG00000097735		
ENSMUSG00000032050		
ENSMUSG00000076871		
ENSMUSG00000026494		
ENSMUSG00000039105		
ENSMUSG00000114121		
ENSMUSG00000040197	WBGene00007709	0
ENSMUSG00000040197	WBGene00019606	0
ENSMUSG00000040197	WBGene00014117	0
ENSMUSG00000040197	WBGene00016088	0
ENSMUSG00000040197	WBGene00018692	0
ENSMUSG00000043157		
ENSMUSG00000074895	WBGene00002063	0
ENSMUSG00000074895	WBGene00002059	0
ENSMUSG00000074895	WBGene00002062	0
ENSMUSG00000103449		
ENSMUSG00000112955		
ENSMUSG00000081343		
ENSMUSG00000113922		
ENSMUSG00000026959	WBGene00003774	0
ENSMUSG00000102790		
ENSMUSG00000115587		
ENSMUSG00000113905		
ENSMUSG00000102106		
ENSMUSG00000113984		
ENSMUSG00000112948		
ENSMUSG00000031995		
ENSMUSG00000113355		
ENSMUSG00000106880		
ENSMUSG00000115491		
ENSMUSG00000114975		
ENSMUSG00000094719		
ENSMUSG00000037355		
ENSMUSG00000108919		
ENSMUSG00000099350		
ENSMUSG00000039686	WBGene00020762	1
ENSMUSG00000100329		
ENSMUSG00000102217		
ENSMUSG00000097638		
ENSMUSG00000103690		
ENSMUSG00000105063		
ENSMUSG00000116913		
ENSMUSG00000106407		
ENSMUSG00000099940		
ENSMUSG00000101113		
ENSMUSG00000037225	WBGene00002881	0
ENSMUSG00000106897		
ENSMUSG00000107257		
ENSMUSG00000021464		
ENSMUSG00000101766		
ENSMUSG00000041205		
ENSMUSG00000027073		
ENSMUSG00000080733		
ENSMUSG00000078429	WBGene00007054	1
ENSMUSG00000084907		
ENSMUSG00000041623		
ENSMUSG00000031399	WBGene00019786	0
ENSMUSG00000101530		
ENSMUSG00000022476	WBGene00014111	1
ENSMUSG00000032252	WBGene00002003	1
ENSMUSG00000100676		
ENSMUSG00000081763		
ENSMUSG00000110402		
ENSMUSG00000021253		
ENSMUSG00000101539		
ENSMUSG00000103060		
ENSMUSG00000100353		
ENSMUSG00000089866		
ENSMUSG00000104967		
ENSMUSG00000102922		
ENSMUSG00000027072		
ENSMUSG00000103991		
ENSMUSG00000105093		
ENSMUSG00000089713		
ENSMUSG00000045217		
ENSMUSG00000050840		
ENSMUSG00000110395		
ENSMUSG00000072753		
ENSMUSG00000109683		
ENSMUSG00000038009		
ENSMUSG00000021345		
ENSMUSG00000111450		
ENSMUSG00000066516		
ENSMUSG00000111232		
ENSMUSG00000080723		
ENSMUSG00000051444		
ENSMUSG00000050846		
ENSMUSG00000110826		
ENSMUSG00000037149	WBGene00021938	1
ENSMUSG00000097902		
ENSMUSG00000046846		
ENSMUSG00000092178		
ENSMUSG00000103301		
ENSMUSG00000114051		
ENSMUSG00000087116		
ENSMUSG00000108301		
ENSMUSG00000054779		
ENSMUSG00000092304		
ENSMUSG00000009628		
ENSMUSG00000111193		
ENSMUSG00000101155		
ENSMUSG00000067276	WBGene00006606	0
ENSMUSG00000067276	WBGene00010417	0
ENSMUSG00000067276	WBGene00013184	0
ENSMUSG00000067276	WBGene00012233	0
ENSMUSG00000067276	WBGene00009695	0
ENSMUSG00000067276	WBGene00000546	0
ENSMUSG00000067276	WBGene00000544	0
ENSMUSG00000067276	WBGene00000547	0
ENSMUSG00000067276	WBGene00000542	0
ENSMUSG00000034387		
ENSMUSG00000050174		
ENSMUSG00000079346		
ENSMUSG00000092224		
ENSMUSG00000020930		
ENSMUSG00000026946		
ENSMUSG00000099669		
ENSMUSG00000116976		
ENSMUSG00000099702		
ENSMUSG00000050132	WBGene00006575	0
ENSMUSG00000114642		
ENSMUSG00000024534		
ENSMUSG00000113540		
ENSMUSG00000116746		
ENSMUSG00000113147		
ENSMUSG00000022477	WBGene00000041	1
ENSMUSG00000116806		
ENSMUSG00000113577		
ENSMUSG00000116642		
ENSMUSG00000021176		
ENSMUSG00000110558		
ENSMUSG00000084201		
ENSMUSG00000111439		
ENSMUSG00000024472	WBGene00003582	0
ENSMUSG00000075510		
ENSMUSG00000028284		
ENSMUSG00000111681		
ENSMUSG00000092365		
ENSMUSG00000092243		
ENSMUSG00000050276		
ENSMUSG00000068082	WBGene00021593	0
ENSMUSG00000036678		
ENSMUSG00000117148		
ENSMUSG00000041852		
ENSMUSG00000106747		
ENSMUSG00000079491		
ENSMUSG00000107289		
ENSMUSG00000109421		
ENSMUSG00000106854		
ENSMUSG00000027907		
ENSMUSG00000107117		
ENSMUSG00000116004		
ENSMUSG00000116305		
ENSMUSG00000104897		
ENSMUSG00000087196		
ENSMUSG00000111373		
ENSMUSG00000085659		
ENSMUSG00000047702		
ENSMUSG00000085251		
ENSMUSG00000000320		
ENSMUSG00000034303		
ENSMUSG00000092277		
ENSMUSG00000020932		
ENSMUSG00000116120		
ENSMUSG00000073405		
ENSMUSG00000006219		
ENSMUSG00000019818		
ENSMUSG00000112067		
ENSMUSG00000043644		
ENSMUSG00000047414		
ENSMUSG00000032249	WBGene00020588	1
ENSMUSG00000032249	WBGene00009367	1
ENSMUSG00000021392	WBGene00010638	0
ENSMUSG00000083353		
ENSMUSG00000112376		
ENSMUSG00000105134		
ENSMUSG00000112853		
ENSMUSG00000091350		
ENSMUSG00000024142	WBGene00015697	0
ENSMUSG00000112756		
ENSMUSG00000112835		
ENSMUSG00000059695		
ENSMUSG00000115547		
ENSMUSG00000107541		
ENSMUSG00000074754		
ENSMUSG00000035293		
ENSMUSG00000067351		
ENSMUSG00000086155		
ENSMUSG00000090737		
ENSMUSG00000040212		
ENSMUSG00000074006		
ENSMUSG00000113877		
ENSMUSG00000035547	WBGene00006606	0
ENSMUSG00000035547	WBGene00010417	0
ENSMUSG00000035547	WBGene00013184	0
ENSMUSG00000035547	WBGene00012233	0
ENSMUSG00000035547	WBGene00009695	0
ENSMUSG00000035547	WBGene00000546	0
ENSMUSG00000035547	WBGene00000544	0
ENSMUSG00000035547	WBGene00000547	0
ENSMUSG00000035547	WBGene00000542	0
ENSMUSG00000085886		
ENSMUSG00000102167		
ENSMUSG00000104349		
ENSMUSG00000102892		
ENSMUSG00000104457		
ENSMUSG00000101022		
ENSMUSG00000100552		
ENSMUSG00000101499		
ENSMUSG00000027737	WBGene00000010	0
ENSMUSG00000027737	WBGene00000005	0
ENSMUSG00000027737	WBGene00015197	0
ENSMUSG00000027737	WBGene00017747	0
ENSMUSG00000027737	WBGene00000002	0
ENSMUSG00000027737	WBGene00000003	0
ENSMUSG00000082838		
ENSMUSG00000100165		
ENSMUSG00000107737		
ENSMUSG00000100199		
ENSMUSG00000107988		
ENSMUSG00000100077		
ENSMUSG00000086052		
ENSMUSG00000030281	WBGene00013415	0
ENSMUSG00000108026		
ENSMUSG00000101569		
ENSMUSG00000041272	WBGene00001973	0
ENSMUSG00000041272	WBGene00001974	0
ENSMUSG00000115209		
ENSMUSG00000063386		
ENSMUSG00000050014	WBGene00017220	0
ENSMUSG00000050014	WBGene00017219	0
ENSMUSG00000096690		
ENSMUSG00000031495	WBGene00007709	0
ENSMUSG00000031495	WBGene00019606	0
ENSMUSG00000031495	WBGene00014117	0
ENSMUSG00000031495	WBGene00016088	0
ENSMUSG00000031495	WBGene00018692	0
ENSMUSG00000027315	WBGene00003173	0
ENSMUSG00000027315	WBGene00009386	0
ENSMUSG00000027315	WBGene00008304	0
ENSMUSG00000027315	WBGene00012186	0
ENSMUSG00000027315	WBGene00015355	0
ENSMUSG00000027315	WBGene00010792	0
ENSMUSG00000027315	WBGene00020648	0
ENSMUSG00000027315	WBGene00008449	0
ENSMUSG00000027315	WBGene00012814	0
ENSMUSG00000027315	WBGene00021939	0
ENSMUSG00000045521	WBGene00044388	0
ENSMUSG00000045521	WBGene00012638	0
ENSMUSG00000045521	WBGene00015230	0
ENSMUSG00000029707		
ENSMUSG00000096066		
ENSMUSG00000031302	WBGene00013875	0
ENSMUSG00000031302	WBGene00013874	0
ENSMUSG00000031302	WBGene00013873	0
ENSMUSG00000031302	WBGene00011364	0
ENSMUSG00000031302	WBGene00011362	0
ENSMUSG00000031302	WBGene00020688	0
ENSMUSG00000031302	WBGene00016595	0
ENSMUSG00000031302	WBGene00015284	0
ENSMUSG00000031302	WBGene00015279	0
ENSMUSG00000031302	WBGene00016862	0
ENSMUSG00000031302	WBGene00015071	0
ENSMUSG00000031302	WBGene00015067	0
ENSMUSG00000031302	WBGene00016863	0
ENSMUSG00000031302	WBGene00018958	0
ENSMUSG00000031302	WBGene00007695	0
ENSMUSG00000031302	WBGene00007692	0
ENSMUSG00000031302	WBGene00007691	0
ENSMUSG00000031302	WBGene00007693	0
ENSMUSG00000031302	WBGene00008451	0
ENSMUSG00000031302	WBGene00000038	0
ENSMUSG00000031302	WBGene00000037	0
ENSMUSG00000037533		
ENSMUSG00000116079		
ENSMUSG00000045466		
ENSMUSG00000099384		
ENSMUSG00000073686		
ENSMUSG00000090417		
ENSMUSG00000020440	WBGene00000183	1
ENSMUSG00000114427		
ENSMUSG00000106135		
ENSMUSG00000046804		
ENSMUSG00000039883		
ENSMUSG00000062694	WBGene00000302	0
ENSMUSG00000062694	WBGene00000301	0
ENSMUSG00000112024		
ENSMUSG00000112658		
ENSMUSG00000035198	WBGene00006539	0
ENSMUSG00000035198	WBGene00000248	0
ENSMUSG00000035198	WBGene00006536	0
ENSMUSG00000035198	WBGene00006537	0
ENSMUSG00000049112		
ENSMUSG00000106294		
ENSMUSG00000103031		
ENSMUSG00000048520	WBGene00007206	0
ENSMUSG00000048520	WBGene00007208	0
ENSMUSG00000048520	WBGene00007887	0
ENSMUSG00000048520	WBGene00010585	0
ENSMUSG00000048520	WBGene00018561	0
ENSMUSG00000048520	WBGene00021463	0
ENSMUSG00000048520	WBGene00013511	0
ENSMUSG00000048520	WBGene00009689	0
ENSMUSG00000048520	WBGene00018613	0
ENSMUSG00000048520	WBGene00021053	0
ENSMUSG00000048520	WBGene00044459	0
ENSMUSG00000048520	WBGene00008177	0
ENSMUSG00000048520	WBGene00018766	0
ENSMUSG00000048520	WBGene00019239	0
ENSMUSG00000048520	WBGene00009823	0
ENSMUSG00000048520	WBGene00045058	0
ENSMUSG00000048520	WBGene00010365	0
ENSMUSG00000048520	WBGene00021180	0
ENSMUSG00000048520	WBGene00011331	0
ENSMUSG00000048520	WBGene00020884	0
ENSMUSG00000107348		
ENSMUSG00000094858		
ENSMUSG00000041959		
ENSMUSG00000100393		
ENSMUSG00000029708		
ENSMUSG00000039239		
ENSMUSG00000112040		
ENSMUSG00000072653		
ENSMUSG00000084021		
ENSMUSG00000083931		
ENSMUSG00000005237		
ENSMUSG00000041729	WBGene00000768	0
ENSMUSG00000101184		
ENSMUSG00000101108		
ENSMUSG00000082345		
ENSMUSG00000042133	WBGene00000885	0
ENSMUSG00000111481		
ENSMUSG00000028277	WBGene00006703	1
ENSMUSG00000095595		
ENSMUSG00000026664	WBGene00014000	1
