Gene stable ID	Human gene stable ID	Human orthology confidence [0 low, 1 high]
ENSMUSG00000028461	ENSG00000159884	1
ENSMUSG00000086904		
ENSMUSG00000043537		
ENSMUSG00000094105		
ENSMUSG00000017776	ENSG00000167193	1
ENSMUSG00000102107		
ENSMUSG00000110443		
ENSMUSG00000105307		
ENSMUSG00000103154		
ENSMUSG00000101057		
ENSMUSG00000103193		
ENSMUSG00000103181		
ENSMUSG00000081127		
ENSMUSG00000106990		
ENSMUSG00000105364		
ENSMUSG00000103929		
ENSMUSG00000099391		
ENSMUSG00000087461		
ENSMUSG00000112492		
ENSMUSG00000062061	ENSG00000171102	0
ENSMUSG00000062061	ENSG00000122136	0
ENSMUSG00000024576	ENSG00000113712	1
ENSMUSG00000108502		
ENSMUSG00000103413		
ENSMUSG00000029310	ENSG00000170502	1
ENSMUSG00000102185		
ENSMUSG00000113662		
ENSMUSG00000094205		
ENSMUSG00000043340		
ENSMUSG00000021103	ENSG00000020426	1
ENSMUSG00000084115		
ENSMUSG00000106959		
ENSMUSG00000024486	ENSG00000113070	1
ENSMUSG00000047221	ENSG00000222011	1
ENSMUSG00000083107		
ENSMUSG00000104578		
ENSMUSG00000083195		
ENSMUSG00000105479		
ENSMUSG00000107320		
ENSMUSG00000094036		
ENSMUSG00000039841	ENSG00000048405	1
ENSMUSG00000106410		
ENSMUSG00000106026		
ENSMUSG00000108895		
ENSMUSG00000031583	ENSG00000165392	1
ENSMUSG00000067848		
ENSMUSG00000118287		
ENSMUSG00000118340		
ENSMUSG00000030145	ENSG00000198105	1
ENSMUSG00000036916	ENSG00000056277	1
ENSMUSG00000100069		
ENSMUSG00000112423		
ENSMUSG00000105171		
ENSMUSG00000048652	ENSG00000203943	1
ENSMUSG00000025436	ENSG00000166896	1
ENSMUSG00000103740		
ENSMUSG00000031383	ENSG00000130829	1
ENSMUSG00000099516		
ENSMUSG00000090305		
ENSMUSG00000105155		
ENSMUSG00000104941		
ENSMUSG00000102379		
ENSMUSG00000024287	ENSG00000079134	1
ENSMUSG00000004937	ENSG00000104969	1
ENSMUSG00000108770		
ENSMUSG00000087022		
ENSMUSG00000090202		
ENSMUSG00000108645		
ENSMUSG00000018379	ENSG00000136450	1
ENSMUSG00000018379	ENSG00000266086	1
ENSMUSG00000032740	ENSG00000115355	1
ENSMUSG00000030612	ENSG00000259494	1
ENSMUSG00000076862	ENSG00000211810	1
ENSMUSG00000086858		
ENSMUSG00000059316	ENSG00000167114	1
ENSMUSG00000022607	ENSG00000169398	1
ENSMUSG00000062078	ENSG00000112531	1
ENSMUSG00000085810		
ENSMUSG00000073079	ENSG00000100883	1
ENSMUSG00000076863	ENSG00000211812	1
ENSMUSG00000030611	ENSG00000181991	1
ENSMUSG00000103799		
ENSMUSG00000109171		
ENSMUSG00000076864	ENSG00000211813	1
ENSMUSG00000108697		
ENSMUSG00000040274	ENSG00000105810	1
ENSMUSG00000108627		
ENSMUSG00000019975	ENSG00000166130	1
ENSMUSG00000102546		
ENSMUSG00000105963		
ENSMUSG00000106035		
ENSMUSG00000118214		
ENSMUSG00000087609		
ENSMUSG00000096056		
ENSMUSG00000104650		
ENSMUSG00000093751		
ENSMUSG00000070713		
ENSMUSG00000081788		
ENSMUSG00000076866	ENSG00000211816	1
ENSMUSG00000076866	ENSG00000211817	1
ENSMUSG00000109800		
ENSMUSG00000033510	ENSG00000169918	1
ENSMUSG00000076865		
ENSMUSG00000059206		
ENSMUSG00000090572		
ENSMUSG00000097360		
ENSMUSG00000105309		
ENSMUSG00000046321	ENSG00000122254	1
ENSMUSG00000079487	ENSG00000184634	1
ENSMUSG00000055148	ENSG00000127528	1
ENSMUSG00000097920		
ENSMUSG00000108409		
ENSMUSG00000101125		
ENSMUSG00000108351		
ENSMUSG00000108811		
ENSMUSG00000083391		
ENSMUSG00000086946		
ENSMUSG00000085037		
ENSMUSG00000083953		
ENSMUSG00000027312	ENSG00000088812	1
ENSMUSG00000112035		
ENSMUSG00000080782		
ENSMUSG00000105534		
ENSMUSG00000086193		
ENSMUSG00000106588		
ENSMUSG00000108536		
ENSMUSG00000071273		
ENSMUSG00000039910	ENSG00000164442	1
ENSMUSG00000057890		
ENSMUSG00000091259		
ENSMUSG00000102436		
ENSMUSG00000104296		
ENSMUSG00000103056		
ENSMUSG00000045725	ENSG00000176532	1
ENSMUSG00000039246	ENSG00000143353	1
ENSMUSG00000059834	ENSG00000151466	1
ENSMUSG00000030428	ENSG00000167614	1
ENSMUSG00000074254	ENSG00000197838	0
ENSMUSG00000074254	ENSG00000198077	1
ENSMUSG00000074254	ENSG00000255974	0
ENSMUSG00000085178		
ENSMUSG00000083845		
ENSMUSG00000018476	ENSG00000132510	1
ENSMUSG00000108081		
ENSMUSG00000073067		
ENSMUSG00000058571	ENSG00000183098	1
ENSMUSG00000026439	ENSG00000117222	1
ENSMUSG00000095240		
ENSMUSG00000028745	ENSG00000077549	1
ENSMUSG00000101887		
ENSMUSG00000041530	ENSG00000092847	1
ENSMUSG00000099503		
ENSMUSG00000084966		
ENSMUSG00000101015		
ENSMUSG00000055560	ENSG00000213799	0
ENSMUSG00000115607		
ENSMUSG00000109747		
ENSMUSG00000100521		
ENSMUSG00000022229	ENSG00000075673	1
ENSMUSG00000101790		
ENSMUSG00000110097		
ENSMUSG00000086040	ENSG00000122574	1
ENSMUSG00000108431		
ENSMUSG00000113869		
ENSMUSG00000113065		
ENSMUSG00000100452		
ENSMUSG00000048264	ENSG00000151240	1
ENSMUSG00000109924		
ENSMUSG00000101403		
ENSMUSG00000082736		
ENSMUSG00000024045	ENSG00000105127	1
ENSMUSG00000026116	ENSG00000075568	1
ENSMUSG00000093537		
ENSMUSG00000000308	ENSG00000223572	1
ENSMUSG00000000308	ENSG00000237289	1
ENSMUSG00000039891	ENSG00000164440	1
ENSMUSG00000114345		
ENSMUSG00000106166		
ENSMUSG00000060701	ENSG00000171049	0
ENSMUSG00000045031		
ENSMUSG00000096916	ENSG00000197782	0
ENSMUSG00000098781		
ENSMUSG00000117295		
ENSMUSG00000035325	ENSG00000138674	1
ENSMUSG00000042848		
ENSMUSG00000081769		
ENSMUSG00000008845	ENSG00000177575	1
ENSMUSG00000118421		
ENSMUSG00000108406		
ENSMUSG00000108517		
ENSMUSG00000024471	ENSG00000120729	1
ENSMUSG00000027564		
ENSMUSG00000028048	ENSG00000177628	1
ENSMUSG00000037606	ENSG00000021762	1
ENSMUSG00000093672		
ENSMUSG00000047879	ENSG00000101557	1
ENSMUSG00000059366		
ENSMUSG00000101830		
ENSMUSG00000108421		
ENSMUSG00000108700		
ENSMUSG00000090840	ENSG00000283268	0
ENSMUSG00000092353		
ENSMUSG00000072623	ENSG00000175395	1
ENSMUSG00000081139		
ENSMUSG00000037708	ENSG00000077327	1
ENSMUSG00000002731	ENSG00000180228	1
ENSMUSG00000082896		
ENSMUSG00000108629		
ENSMUSG00000113886		
ENSMUSG00000118520		
ENSMUSG00000114081		
ENSMUSG00000036613	ENSG00000032389	1
ENSMUSG00000061947	ENSG00000140093	1
ENSMUSG00000112257		
ENSMUSG00000038602	ENSG00000196376	1
ENSMUSG00000027722	ENSG00000145375	1
ENSMUSG00000022187		
ENSMUSG00000033498	ENSG00000242866	1
ENSMUSG00000092075		
ENSMUSG00000111918		
ENSMUSG00000112681		
ENSMUSG00000043445	ENSG00000184207	1
ENSMUSG00000112576		
ENSMUSG00000075267	ENSG00000204311	1
ENSMUSG00000100322		
ENSMUSG00000103159		
ENSMUSG00000102930		
ENSMUSG00000084099		
ENSMUSG00000103016		
ENSMUSG00000089952		
ENSMUSG00000026963	ENSG00000185863	1
ENSMUSG00000095061		
ENSMUSG00000078346	ENSG00000229674	0
ENSMUSG00000052942	ENSG00000107249	1
ENSMUSG00000098708		
ENSMUSG00000052040	ENSG00000169926	1
ENSMUSG00000044030	ENSG00000170604	1
ENSMUSG00000030409	ENSG00000104936	1
ENSMUSG00000049184	ENSG00000172733	1
ENSMUSG00000026156	ENSG00000112309	1
ENSMUSG00000040548	ENSG00000136478	1
ENSMUSG00000026344	ENSG00000150551	1
ENSMUSG00000114920		
ENSMUSG00000028100	ENSG00000186364	1
ENSMUSG00000082381		
ENSMUSG00000070319	ENSG00000130811	1
ENSMUSG00000067951		
ENSMUSG00000020849	ENSG00000108953	1
ENSMUSG00000030057		
ENSMUSG00000106289	ENSG00000211818	1
ENSMUSG00000026155	ENSG00000112305	1
ENSMUSG00000105823		
ENSMUSG00000082048		
ENSMUSG00000083635		
ENSMUSG00000116280		
ENSMUSG00000112761		
ENSMUSG00000112878		
ENSMUSG00000026343	ENSG00000183840	1
ENSMUSG00000060245		
ENSMUSG00000001076	ENSG00000186897	1
ENSMUSG00000104658		
ENSMUSG00000096176		
ENSMUSG00000027317	ENSG00000166143	1
ENSMUSG00000041550	ENSG00000188488	1
ENSMUSG00000076867		
ENSMUSG00000037400	ENSG00000058063	1
ENSMUSG00000097209		
ENSMUSG00000096749		
ENSMUSG00000018398	ENSG00000164402	1
ENSMUSG00000076870		
ENSMUSG00000022382	ENSG00000188064	1
ENSMUSG00000115689		
ENSMUSG00000022129	ENSG00000080166	1
ENSMUSG00000115952		
ENSMUSG00000040690	ENSG00000084636	1
ENSMUSG00000116424		
ENSMUSG00000029260		
ENSMUSG00000006276	ENSG00000127527	1
ENSMUSG00000101505		
ENSMUSG00000060181	ENSG00000175782	1
ENSMUSG00000109750		
ENSMUSG00000099801		
ENSMUSG00000084942		
ENSMUSG00000039543	ENSG00000156042	1
ENSMUSG00000020783	ENSG00000074356	1
ENSMUSG00000104876	ENSG00000211829	1
ENSMUSG00000027380	ENSG00000153093	1
ENSMUSG00000076873	ENSG00000256590	1
ENSMUSG00000044164	ENSG00000180537	1
ENSMUSG00000106112		
ENSMUSG00000097735		
ENSMUSG00000032050	ENSG00000137710	1
ENSMUSG00000076871		
ENSMUSG00000026494	ENSG00000162849	1
ENSMUSG00000039105	ENSG00000136888	1
ENSMUSG00000114121		
ENSMUSG00000040197	ENSG00000090659	0
ENSMUSG00000043157	ENSG00000152213	1
ENSMUSG00000074895	ENSG00000175766	1
ENSMUSG00000103449		
ENSMUSG00000112955		
ENSMUSG00000081343		
ENSMUSG00000113922		
ENSMUSG00000026959	ENSG00000176884	1
ENSMUSG00000102790		
ENSMUSG00000115587		
ENSMUSG00000113905		
ENSMUSG00000102106		
ENSMUSG00000113984		
ENSMUSG00000112948		
ENSMUSG00000031995	ENSG00000149418	1
ENSMUSG00000113355		
ENSMUSG00000106880		
ENSMUSG00000115491		
ENSMUSG00000114975		
ENSMUSG00000094719		
ENSMUSG00000037355	ENSG00000163945	1
ENSMUSG00000108919		
ENSMUSG00000099350		
ENSMUSG00000039686	ENSG00000160445	1
ENSMUSG00000100329		
ENSMUSG00000102217		
ENSMUSG00000097638		
ENSMUSG00000103690		
ENSMUSG00000105063		
ENSMUSG00000116913		
ENSMUSG00000106407		
ENSMUSG00000099940		
ENSMUSG00000101113		
ENSMUSG00000037225	ENSG00000138685	1
ENSMUSG00000106897		
ENSMUSG00000107257		
ENSMUSG00000021464	ENSG00000169071	1
ENSMUSG00000101766		
ENSMUSG00000041205	ENSG00000180834	1
ENSMUSG00000027073	ENSG00000254979	0
ENSMUSG00000027073	ENSG00000186652	1
ENSMUSG00000080733		
ENSMUSG00000078429	ENSG00000175215	1
ENSMUSG00000084907		
ENSMUSG00000041623	ENSG00000141219	0
ENSMUSG00000031399	ENSG00000071889	1
ENSMUSG00000101530		
ENSMUSG00000022476	ENSG00000100413	1
ENSMUSG00000032252	ENSG00000138604	1
ENSMUSG00000100676		
ENSMUSG00000081763		
ENSMUSG00000110402		
ENSMUSG00000021253	ENSG00000119699	1
ENSMUSG00000101539		
ENSMUSG00000103060		
ENSMUSG00000100353		
ENSMUSG00000089866		
ENSMUSG00000104967		
ENSMUSG00000102922		
ENSMUSG00000027072	ENSG00000156575	1
ENSMUSG00000103991		
ENSMUSG00000105093		
ENSMUSG00000089713		
ENSMUSG00000045217		
ENSMUSG00000050840	ENSG00000101542	1
ENSMUSG00000110395		
ENSMUSG00000072753		
ENSMUSG00000109683		
ENSMUSG00000038009	ENSG00000178401	1
ENSMUSG00000021345	ENSG00000172179	0
ENSMUSG00000111450		
ENSMUSG00000066516	ENSG00000167748	0
ENSMUSG00000111232		
ENSMUSG00000080723		
ENSMUSG00000051444	ENSG00000181004	1
ENSMUSG00000050846	ENSG00000183309	1
ENSMUSG00000110826		
ENSMUSG00000037149	ENSG00000079785	1
ENSMUSG00000097902		
ENSMUSG00000046846	ENSG00000258484	0
ENSMUSG00000092178		
ENSMUSG00000103301		
ENSMUSG00000114051		
ENSMUSG00000087116		
ENSMUSG00000108301		
ENSMUSG00000054779		
ENSMUSG00000092304		
ENSMUSG00000009628	ENSG00000133863	0
ENSMUSG00000111193		
ENSMUSG00000101155		
ENSMUSG00000067276	ENSG00000077274	1
ENSMUSG00000034387	ENSG00000125046	1
ENSMUSG00000050174	ENSG00000170917	1
ENSMUSG00000079346		
ENSMUSG00000092224		
ENSMUSG00000020930	ENSG00000167131	1
ENSMUSG00000026946	ENSG00000123609	1
ENSMUSG00000099669		
ENSMUSG00000116976		
ENSMUSG00000099702		
ENSMUSG00000050132	ENSG00000004139	1
ENSMUSG00000114642		
ENSMUSG00000024534	ENSG00000064692	1
ENSMUSG00000113540		
ENSMUSG00000116746		
ENSMUSG00000113147		
ENSMUSG00000022477	ENSG00000100412	1
ENSMUSG00000116806		
ENSMUSG00000113577		
ENSMUSG00000116642		
ENSMUSG00000021176	ENSG00000140025	1
ENSMUSG00000110558		
ENSMUSG00000084201		
ENSMUSG00000111439		
ENSMUSG00000024472	ENSG00000172795	1
ENSMUSG00000075510	ENSG00000214447	1
ENSMUSG00000028284	ENSG00000135341	1
ENSMUSG00000111681		
ENSMUSG00000092365		
ENSMUSG00000092243		
ENSMUSG00000050276	ENSG00000182170	1
ENSMUSG00000068082	ENSG00000215203	1
ENSMUSG00000036678	ENSG00000094914	1
ENSMUSG00000117148		
ENSMUSG00000041852	ENSG00000100207	1
ENSMUSG00000106747		
ENSMUSG00000079491		
ENSMUSG00000107289		
ENSMUSG00000109421		
ENSMUSG00000106854		
ENSMUSG00000027907	ENSG00000163191	1
ENSMUSG00000107117		
ENSMUSG00000116004		
ENSMUSG00000116305		
ENSMUSG00000104897		
ENSMUSG00000087196		
ENSMUSG00000111373		
ENSMUSG00000085659		
ENSMUSG00000047702	ENSG00000174339	0
ENSMUSG00000085251		
ENSMUSG00000000320	ENSG00000108839	1
ENSMUSG00000034303	ENSG00000149548	0
ENSMUSG00000092277		
ENSMUSG00000020932	ENSG00000131095	1
ENSMUSG00000116120		
ENSMUSG00000073405		
ENSMUSG00000006219	ENSG00000162458	1
ENSMUSG00000019818	ENSG00000135535	1
ENSMUSG00000112067		
ENSMUSG00000043644		
ENSMUSG00000047414	ENSG00000185070	1
ENSMUSG00000032249	ENSG00000140350	1
ENSMUSG00000032249	ENSG00000139223	0
ENSMUSG00000021392	ENSG00000198000	1
ENSMUSG00000083353		
ENSMUSG00000112376		
ENSMUSG00000105134		
ENSMUSG00000112853		
ENSMUSG00000091350		
ENSMUSG00000024142	ENSG00000167965	1
ENSMUSG00000112756		
ENSMUSG00000112835		
ENSMUSG00000059695		
ENSMUSG00000115547		
ENSMUSG00000107541		
ENSMUSG00000074754	ENSG00000232388	0
ENSMUSG00000035293	ENSG00000092140	1
ENSMUSG00000067351		
ENSMUSG00000086155		
ENSMUSG00000090737		
ENSMUSG00000040212	ENSG00000142227	1
ENSMUSG00000074006	ENSG00000254550	1
ENSMUSG00000113877		
ENSMUSG00000035547	ENSG00000149260	1
ENSMUSG00000085886		
ENSMUSG00000102167		
ENSMUSG00000104349		
ENSMUSG00000102892		
ENSMUSG00000104457		
ENSMUSG00000101022		
ENSMUSG00000100552		
ENSMUSG00000101499		
ENSMUSG00000027737	ENSG00000151012	1
ENSMUSG00000082838		
ENSMUSG00000100165		
ENSMUSG00000107737		
ENSMUSG00000100199		
ENSMUSG00000107988		
ENSMUSG00000100077		
ENSMUSG00000086052		
ENSMUSG00000030281	ENSG00000163702	1
ENSMUSG00000108026		
ENSMUSG00000101569		
ENSMUSG00000041272	ENSG00000198846	1
ENSMUSG00000115209		
ENSMUSG00000063386	ENSG00000174339	0
ENSMUSG00000050014		
ENSMUSG00000096690		
ENSMUSG00000031495	ENSG00000090659	0
ENSMUSG00000027315	ENSG00000166145	1
ENSMUSG00000045521	ENSG00000206203	1
ENSMUSG00000029707	ENSG00000106328	1
ENSMUSG00000096066	ENSG00000120952	0
ENSMUSG00000096066	ENSG00000270601	0
ENSMUSG00000096066	ENSG00000204510	0
ENSMUSG00000096066	ENSG00000280267	0
ENSMUSG00000096066	ENSG00000204479	0
ENSMUSG00000096066	ENSG00000204478	0
ENSMUSG00000096066	ENSG00000232423	0
ENSMUSG00000096066	ENSG00000116726	0
ENSMUSG00000096066	ENSG00000243073	0
ENSMUSG00000096066	ENSG00000116721	0
ENSMUSG00000096066	ENSG00000204481	0
ENSMUSG00000096066	ENSG00000187545	0
ENSMUSG00000096066	ENSG00000204501	0
ENSMUSG00000096066	ENSG00000279804	0
ENSMUSG00000096066	ENSG00000229571	0
ENSMUSG00000096066	ENSG00000279169	0
ENSMUSG00000096066	ENSG00000239810	0
ENSMUSG00000096066	ENSG00000274764	0
ENSMUSG00000096066	ENSG00000237700	0
ENSMUSG00000096066	ENSG00000182330	0
ENSMUSG00000096066	ENSG00000204480	0
ENSMUSG00000096066	ENSG00000204505	0
ENSMUSG00000031302	ENSG00000196338	1
ENSMUSG00000037533	ENSG00000273217	1
ENSMUSG00000037533	ENSG00000158987	1
ENSMUSG00000116079		
ENSMUSG00000045466	ENSG00000269343	0
ENSMUSG00000045466	ENSG00000178935	0
ENSMUSG00000099384		
ENSMUSG00000073686		
ENSMUSG00000090417		
ENSMUSG00000020440	ENSG00000004059	1
ENSMUSG00000114427		
ENSMUSG00000106135		
ENSMUSG00000046804		
ENSMUSG00000039883	ENSG00000128606	1
ENSMUSG00000062694	ENSG00000182533	1
ENSMUSG00000112024		
ENSMUSG00000112658		
ENSMUSG00000035198	ENSG00000131462	1
ENSMUSG00000049112	ENSG00000180914	1
ENSMUSG00000106294		
ENSMUSG00000103031		
ENSMUSG00000048520	ENSG00000161040	1
ENSMUSG00000107348		
ENSMUSG00000094858		
ENSMUSG00000041959	ENSG00000197747	1
ENSMUSG00000100393		
ENSMUSG00000029708	ENSG00000179562	1
ENSMUSG00000039239	ENSG00000092969	1
ENSMUSG00000112040		
ENSMUSG00000072653		
ENSMUSG00000084021		
ENSMUSG00000083931		
ENSMUSG00000005237	ENSG00000183914	1
ENSMUSG00000041729	ENSG00000103647	1
ENSMUSG00000101184		
ENSMUSG00000101108		
ENSMUSG00000082345		
ENSMUSG00000042133	ENSG00000138398	1
ENSMUSG00000111481		
ENSMUSG00000028277	ENSG00000198833	1
ENSMUSG00000095595	ENSG00000151327	0
ENSMUSG00000026664	ENSG00000107537	1
ENSMUSG00000111748		
ENSMUSG00000087123		
ENSMUSG00000026896	ENSG00000115267	1
ENSMUSG00000107473		
ENSMUSG00000111421		
ENSMUSG00000111738		
ENSMUSG00000069855		
ENSMUSG00000048965	ENSG00000184350	1
ENSMUSG00000103907		
ENSMUSG00000097482		
ENSMUSG00000098069		
ENSMUSG00000099582		
ENSMUSG00000047496	ENSG00000176641	1
ENSMUSG00000045417		
ENSMUSG00000106430		
ENSMUSG00000018900	ENSG00000197375	1
ENSMUSG00000083919		
ENSMUSG00000099945		
ENSMUSG00000104870		
ENSMUSG00000112022		
ENSMUSG00000080840		
ENSMUSG00000082161		
ENSMUSG00000097749		
ENSMUSG00000113693		
ENSMUSG00000050933		
ENSMUSG00000100300		
ENSMUSG00000083023		
ENSMUSG00000105020		
ENSMUSG00000101429		
ENSMUSG00000100683		
ENSMUSG00000062165		
ENSMUSG00000086670		
ENSMUSG00000028560	ENSG00000162607	1
ENSMUSG00000086070		
ENSMUSG00000027381	ENSG00000153094	1
ENSMUSG00000024317		
ENSMUSG00000067949		
ENSMUSG00000028358	ENSG00000157657	1
ENSMUSG00000026592	ENSG00000240021	0
ENSMUSG00000116974		
ENSMUSG00000032667	ENSG00000105854	1
ENSMUSG00000038156	ENSG00000262655	1
ENSMUSG00000091034		
ENSMUSG00000080798		
ENSMUSG00000056536	ENSG00000197563	1
ENSMUSG00000025128	ENSG00000180828	1
ENSMUSG00000038705	ENSG00000101216	1
ENSMUSG00000114884		
ENSMUSG00000114483		
ENSMUSG00000113325		
ENSMUSG00000114329		
ENSMUSG00000032673		
ENSMUSG00000039109	ENSG00000124491	1
ENSMUSG00000107668		
ENSMUSG00000038037	ENSG00000185338	1
ENSMUSG00000082024		
ENSMUSG00000085630		
ENSMUSG00000082795		
ENSMUSG00000105261		
ENSMUSG00000083068		
ENSMUSG00000069188		
ENSMUSG00000115602		
ENSMUSG00000059460	ENSG00000172640	1
ENSMUSG00000102088		
ENSMUSG00000115693		
ENSMUSG00000115821		
ENSMUSG00000043050	ENSG00000178279	0
ENSMUSG00000099514		
ENSMUSG00000030093	ENSG00000154764	1
ENSMUSG00000100446		
ENSMUSG00000073980		
ENSMUSG00000050058	ENSG00000178257	1
ENSMUSG00000081994		
ENSMUSG00000083410		
ENSMUSG00000026668	ENSG00000165623	1
ENSMUSG00000086287		
ENSMUSG00000092289		
ENSMUSG00000000305	ENSG00000179242	1
ENSMUSG00000099386		
ENSMUSG00000092366		
ENSMUSG00000055782	ENSG00000173208	1
ENSMUSG00000000365	ENSG00000132972	1
ENSMUSG00000038311		
ENSMUSG00000086048		
ENSMUSG00000045917	ENSG00000157693	1
ENSMUSG00000038611	ENSG00000070047	1
ENSMUSG00000095103		
ENSMUSG00000081312		
ENSMUSG00000003363	ENSG00000105223	1
ENSMUSG00000038784	ENSG00000080802	1
ENSMUSG00000109900		
ENSMUSG00000108804		
ENSMUSG00000083551		
ENSMUSG00000073403		
ENSMUSG00000098240		
ENSMUSG00000095785		
ENSMUSG00000097693		
ENSMUSG00000029064	ENSG00000078369	1
ENSMUSG00000105529		
ENSMUSG00000034807	ENSG00000130309	1
ENSMUSG00000035829	ENSG00000196422	1
ENSMUSG00000032243	ENSG00000137809	1
ENSMUSG00000026737	ENSG00000150867	1
ENSMUSG00000038015	ENSG00000122304	0
ENSMUSG00000025156	ENSG00000169727	1
ENSMUSG00000026705	ENSG00000076321	1
ENSMUSG00000086591		
ENSMUSG00000034171	ENSG00000117480	1
ENSMUSG00000034442	ENSG00000126814	1
ENSMUSG00000060177	ENSG00000167748	0
ENSMUSG00000090574		
ENSMUSG00000090782		
ENSMUSG00000071671		
ENSMUSG00000116038		
ENSMUSG00000107798		
ENSMUSG00000108796		
ENSMUSG00000022501		
ENSMUSG00000095704		
ENSMUSG00000108797		
ENSMUSG00000108403		
ENSMUSG00000097964		
ENSMUSG00000108045		
ENSMUSG00000106345		
ENSMUSG00000105423		
ENSMUSG00000037847	ENSG00000106733	1
ENSMUSG00000115732		
ENSMUSG00000017344	ENSG00000273171	0
ENSMUSG00000017344	ENSG00000109072	1
ENSMUSG00000009596	ENSG00000102387	0
ENSMUSG00000076874		
ENSMUSG00000115506		
