		E-GEOD-11941	E-GEOD-12113	E-GEOD-29598	E-GEOD-32920	E-GEOD-48433	E-GEOD-48433	E-GEOD-48433	E-GEOD-48433	E-GEOD-57116	E-GEOD-57116	E-GEOD-60052	E-GEOD-63252	E-GEOD-63452	E-MTAB-3645	E-MTAB-6491	E-MTAB-6681	E-MTAB-6724	E-MTAB-6865	E-TABM-868
ENSG00000001460	STPG1		-0.7			0.99	0.99	0.99	0.99	-1.9	-2.0	1.0	0.5	-0.6	-0.2		0.99	0.5	0.9	0.4
ENSG00000001461	NIPAL3	0.3	0.2	-0.3		0.6	-0.9	-0.9	0.7	0.99	-0.7	0.4	1.2	0.3	0.99	0.99	-0.7	-0.2	0.3	0.6
ENSG00000001497	LAS1L		-0.5	0.2		0.5	0.7	0.6	1.5	-0.1	0.5	0.3	-1.6	0.6	-0.6	-0.3	-0.5	0.4	0.2	-0.7
ENSG00000001561	ENPP4	0.9	0.3	-1.0		1.7	-2.5	-3.0	-0.2			0.1	2.6	1.1		0.3	0.1	-0.3	-1.7	1.5
ENSG00000001617	SEMA3F		-0.1	0.9		0.4	-2.4	-2.6	-0.9	1.7	1.1	-0.8	-1.9	-0.4				-0.4	1.5	0.99
ENSG00000001626	CFTR	-0.8	1.3	0.9		0.99	-1.2	-1.3	0.2	0.3	-1.0	-0.4	-0.3			0.3	-0.8		0.99	0.1
ENSG00000001629	ANKIB1		0.8			0.99	0.99	0.99	0.99	0.9	-0.2	0.3	3.8	-0.3		-0.1	0.3	0.99	-0.8	0.4
ENSG00000001630	CYP51A1									0.5	0.6	-0.2		-1.0			0.99	0.5	3.6	
ENSG00000001631	KRIT1									-0.3	0.2	0.3		-0.4			-0.1	0.99	-2.8	
ENSG00000002016	RAD52	2.1		-0.1	0.99	0.2	0.1	0.99	-2.2	-1.6	-0.9	0.1	1.0	-0.3		-0.8	-0.6	0.1	-0.4	0.99
ENSG00000002079	MYH16					1.0	0.3	0.6	0.99	-0.9	-1.8	1.7	-0.5	-0.6				0.99	-1.5	0.99
ENSG00000002330	BAD	-0.3	-0.7	0.5		1.4	-0.9	-1.0	0.5	-1.6	0.6	0.6	-1.2	0.7	-0.9	0.7	0.1	0.2	1.0	-0.9
ENSG00000002549	LAP3	-1.0	-0.6	-2.5		0.9	0.6	0.4	1.1	0.1	0.2	-0.9	-0.3	1.3		-1.5	0.5	0.3	2.2	0.2
ENSG00000002586	CD99	-0.6	-0.9	0.3		0.5	-0.2	-0.3	1.0	0.8	1.1	-1.8	-0.9	0.1	0.99	0.5	0.7	-0.2	0.1	-0.5
ENSG00000002587	HS3ST1	-0.3	-0.5	0.7	-0.5	0.2	0.99	0.99	0.5	-1.7	-0.1	1.4	-2.6	0.99		-1.8	0.99		-1.1	
ENSG00000002726	AOC1	-0.8		0.4		-0.5	0.99	0.99	0.99			3.1	-0.5	0.99		-1.7	0.99	-0.3		-0.1
ENSG00000002745	WNT16			0.6		0.2	-0.4	-0.3	-0.3	-0.2	-1.7	1.1	0.7	0.99		0.6			-3.3	0.2
ENSG00000002746	HECW1	-0.4		0.8		0.99	0.99	0.1	0.1	0.2	-0.7	0.5	-0.6	1.2			-0.7	0.1	0.99	0.3
ENSG00000002834	LASP1	-0.3		0.2		0.99	0.7	0.8	1.0	0.3	-0.3	-0.5	0.99	0.4	0.4		0.1	0.2	1.6	-0.9
ENSG00000002919	SNX11			0.5		-0.2	-0.1	0.99	-0.2	-0.8	0.8	0.2	-1.0	-0.6	-0.2	-1.1	0.2	0.1	0.7	0.2
ENSG00000002933	TMEM176A	-1.8	-0.1	0.5		-0.3	0.3	0.4	0.8			0.1	-0.7			-3.0	0.99		1.2	-0.6
ENSG00000003056	M6PR	-0.6		-0.3		0.4	0.4	0.3	0.3	0.2	1.1	-0.6	-0.6	-0.3		0.7	0.99	-0.2	0.2	-0.5
ENSG00000003096	KLHL13	-0.7	-0.1			0.2	0.1	-0.2	1.7	0.9	0.1		-1.4	2.8	0.4	-0.3	0.3		-0.2	-0.6
ENSG00000003147	ICA1	-0.5		0.99		0.99	-0.6	-0.7	0.99	2.0	0.3	0.8	1.1	-0.4		0.99	0.1	0.1	0.6	0.4
ENSG00000003249	DBNDD1	-0.9	-0.7	0.5		-0.3	-0.1	0.7	1.0	0.3	-0.4	1.8	-2.2	0.9	0.99	0.4	-0.2		-1.7	
ENSG00000003393	ALS2	1.1	0.2			-1.1	0.3	0.99	-0.5	-0.2	-0.4		2.0	-0.4	0.5	0.6	-0.1	0.99	0.3	0.3
ENSG00000003400	CASP10		-0.3	0.5		-0.3	0.1	-0.1	0.3	0.1	-0.4	-1.4	0.3	-0.1	1.0	-0.1		-0.2	-0.6	0.7
ENSG00000003402	CFLAR	0.8	-0.2	0.2		-1.1	0.5	0.99	0.1	-0.7	0.1	-1.3	0.99	-0.6	0.3	0.99	0.99	0.4	-0.1	1.3
ENSG00000003436	TFPI	0.3	-0.1	-0.7		-1.3	-1.6	-1.4	-1.4	0.8	-0.1	-1.5	2.9	-0.7	2.3	2.1	0.9	-0.8	2.4	1.1
ENSG00000003756	RBM5	1.5		0.3		0.99	-0.1	-0.4	-0.9			-0.7	1.5	-0.3		-0.5	-0.8	-0.2	-0.5	0.99
ENSG00000003987	MTMR7			0.4		0.99	0.3	0.99	-0.3	-0.8	0.99	1.5	-0.2	0.99	0.99		0.3	-0.5	-4.2	0.99
ENSG00000003989	SLC7A2	-0.2	0.6	0.1	0.99	-0.4	-2.0	-2.1	-0.1	0.9	-0.1	-1.4	-1.3	-0.9	0.6		0.2	-0.6		1.3
ENSG00000004059	ARF5									0.4	1.1	0.2		0.99			0.99	0.2	1.0	
ENSG00000004139	SARM1			0.9	0.4	0.99	0.99	0.1	0.99	-1.2	-1.5	1.1	-0.8	-0.3	-0.5	-0.4	-0.5	-0.2	-1.4	-0.2
ENSG00000004142	POLDIP2	-0.4	-0.4	0.7		0.99	0.99	0.99	1.0	0.4	1.2		-1.5	0.3	-0.9		0.99	0.2	1.1	-0.6
ENSG00000004399	PLXND1	-0.8	-0.7	0.7		0.8	-1.2	-1.3	0.7	0.4	-0.4	-1.0	-1.8	1.6		0.9	-0.2	-0.4	-0.5	0.5
ENSG00000004455	AK2	0.7	-0.6	-0.6		0.99	-0.3	-0.8	0.4	0.99	-0.4	0.6	0.99	0.3	0.4	0.3	0.99	0.2	2.1	-0.8
ENSG00000004468	CD38	-0.5		0.9		0.99	-3.9	-3.6	-0.1	2.4	0.99	-1.4	-0.6			-1.8		-0.6	1.9	-0.7
ENSG00000004478	FKBP4	-0.1		0.8		1.2	1.1	1.0	1.3	0.2	0.1	1.2	-3.6	0.9		0.4	0.2	0.3	1.9	0.6
ENSG00000004487	KDM1A	1.0	-0.4	-0.4		0.99	0.99	0.99	1.4	0.4	-0.2	1.2	-1.4	0.99	0.99		0.99	0.2	0.8	-0.9
ENSG00000004534	RBM6	1.1	-0.2	0.4		0.99	0.4	0.2	-1.1	0.4	0.2	-0.3	0.8	0.2		-0.8	-0.8	-0.1	-0.6	0.3
ENSG00000004660	CAMKK1	-0.3				0.99	0.6	0.6	0.2	-1.8	-2.5	0.4	-1.1	1.6	0.99		0.2	0.99	-0.4	0.99
ENSG00000004700	RECQL		-0.1	-0.8		0.4	1.5	1.7	0.9	0.4	0.5		3.8	0.99		-0.1	0.1	0.3	-0.2	0.7
ENSG00000004766	VPS50	1.4	0.7	0.6		0.99	-0.6	-0.7	-0.9	0.99	-0.3	0.1	2.9	-0.5		0.8	0.1	-0.3	-2.4	0.5
ENSG00000004776	HSPB6	-0.6		1.0	0.8	-0.3	-0.2	-0.3	2.0	-2.8	-1.0	-1.5	-0.5	0.99	0.99	0.99	0.99		0.99	0.2
ENSG00000004777	ARHGAP33	-0.7		1.4	0.99	0.99	0.99	-0.1	0.2	0.7	-0.2	1.8	-1.3	0.7	-0.6		-0.7	-0.4	1.1	-0.5
ENSG00000004779	NDUFAB1		-0.5	-1.2		0.8	0.5	0.5	0.7	0.8	1.6	1.4	0.99	1.2	-0.4	-0.7	0.2	0.3	1.8	-0.3
ENSG00000004799	PDK4	2.1	0.9	0.2		0.4	-2.9	-3.3	0.6	-1.3	-1.9	-2.1	1.1	-0.2		1.3	-0.2	-0.4	0.99	0.8
ENSG00000004809	SLC22A16	-0.3				0.99	-0.1	0.99	-0.3	3.1	2.5	1.3	-0.7			1.9		-0.5	1.2	-1.3
ENSG00000004838	ZMYND10									-3.9	-2.3	-1.0		0.99			-0.5	-1.0	1.5	
ENSG00000004846	ABCB5	-0.1				0.99	0.2	0.1	-0.1			0.9	-1.0			0.1				0.2
ENSG00000004848	ARX		0.1			0.4	-0.1	0.99	1.5	0.2	-0.7	1.5	-1.0	0.99	0.99		-0.6	0.3		-0.6
ENSG00000004864	SLC25A13	-0.2	-0.6	0.2		-0.1	0.99	0.99	1.4	0.4	-0.3		-1.1	0.5		-0.2	0.3	0.3	0.99	-0.6
ENSG00000004897	CDC27	0.3	0.1	1.7	-0.6	-0.2	0.5	0.4	0.9	0.8	-0.1	0.2	2.0	-0.6	0.99	-0.4	0.2	0.1	-0.4	0.2
ENSG00000004961	HCCS	0.1	-0.7	-0.5		-0.2	0.99	0.99	0.7	-0.1	1.2	0.8	0.3	0.6	-1.0	0.99	0.3	0.4	2.2	-0.3
ENSG00000004975	DVL2	0.8	-0.5	1.3		-0.7	0.2	0.99	0.3	-0.2	0.2	0.7	-1.6	0.8	-0.7		-0.2	0.1	0.4	-0.2
ENSG00000005001	PRSS22	-0.5	-0.9	0.5	0.99	-0.6	-0.1	0.3	0.3	0.99	0.7	-0.7	0.99	-0.4	0.99	1.0		-0.2	-1.9	-0.1
ENSG00000005007	UPF1	2.0	-0.2	0.5		0.5	0.8	0.6	1.0	0.7	0.4	-0.1	-1.1	-0.1	-0.7	0.9	-0.5	-0.1	0.9	0.99
ENSG00000005020	SKAP2	-0.3		-1.2		-0.5	0.99	0.99	1.0	0.4	0.3	-0.3	2.7	-0.1			0.7	0.2	0.6	0.5
ENSG00000005022	SLC25A5		-0.4	-1.6		0.7	0.7	0.8	1.2	0.8	1.0	-0.2	-1.2	0.3	0.99	0.99	0.2	0.3	2.3	-0.4
ENSG00000005059	MCUB	-0.1	-0.5	-0.2		1.5	0.3	-0.2	2.6	0.2	-0.1	0.9	-1.1	0.5		-1.8	0.3	0.99	-0.3	1.0
ENSG00000005073	HOXA11		-0.1	0.6		-0.6	0.99	0.5	0.99	-4.2	-1.2	0.2	-0.7	0.5			-0.2	-0.2		-0.9
ENSG00000005075	POLR2J									0.5	1.4	0.7		0.1			-0.1	0.2	0.9	
ENSG00000005100	DHX33		0.8			0.99	0.9	0.7	1.0	0.3	-0.1	0.3	0.5	0.4	-0.3	-0.6	-0.1	0.4	0.8	-0.1
ENSG00000005102	MEOX1		-0.1	0.7		0.99	0.3	0.1	0.4			3.6	-0.8		-0.4	0.99			-1.9	0.1
ENSG00000005108	THSD7A	0.2	0.4	0.3		-1.1	-0.4	0.99	0.6	2.6	1.4		-0.5	0.99		-0.4	0.4	-0.3	0.99	-1.3
ENSG00000005156	LIG3	0.4		0.99		-0.7	1.0	1.1	1.5	-0.3	-0.8	0.2	-0.8	0.99	-0.2		-0.2	0.1	0.7	-0.3
ENSG00000005175	RPAP3	1.2	0.3	-2.1	-0.7	-0.4	-0.1	0.1	0.2	-0.2	-0.5	1.0	2.4	0.4		-0.2	0.1	-0.2	-1.2	0.2
ENSG00000005187	ACSM3	-2.6		0.9		2.2	-0.5	-0.6	0.2	0.99	2.0	0.7	0.2	-0.5	0.4	1.1	0.1	-0.1	0.99	0.99
ENSG00000005189	REXO5			0.4	0.99	1.8	1.9	1.7	2.1	-0.9	0.7	2.2	-0.7	0.1	-0.9	-0.4	0.99	0.2	6.5	-0.8
ENSG00000005194	CIAPIN1		-0.9	0.5		0.2	0.4	0.4	0.9	0.99	0.5	0.4	-1.3	0.2	-0.9	-0.7	0.1	0.1	0.4	-0.7
ENSG00000005206	SPPL2B				0.99	0.99	0.2	-0.3	0.99	0.6	0.7	1.4	-0.4	0.4	-0.3	0.6	-1.3	-0.5	-0.6	-0.3
ENSG00000005238	FAM214B	-0.3	-0.6	1.1	0.99	-0.3	0.1	0.2	-0.3	-2.2	0.2	-0.6	1.0	-1.4		0.4	-0.2	0.1	2.0	-0.1
ENSG00000005243	COPZ2	-1.6		0.5		0.99	-1.1	-1.2	0.3	-0.7	-0.9	-0.9	-0.8	-0.9	0.99	0.5	-0.7	0.3	3.0	-0.3
ENSG00000005249	PRKAR2B	-0.3	-0.1	-2.0		-0.3	-1.4	-1.0	-0.4	3.9	2.6	0.4	-0.5	0.7		-4.4	0.5	0.3	0.99	-0.4
ENSG00000005302	MSL3		-0.2	-0.1		0.99	0.4	0.6	0.99	-0.6	0.5	-0.1	0.6	-0.3	-0.2	-1.4	-0.1	-0.2	-1.2	0.4
ENSG00000005339	CREBBP	1.9		-0.1		-1.3	0.99	0.3	-0.6	0.4	-0.9	-0.1	1.9	-1.4	0.99	-0.4	-0.8	-0.1	-1.2	0.8
ENSG00000005379	TSPOAP1	-0.4	-0.2	0.8		-0.3	0.99	-0.2	-0.2	-0.6	-1.4	-0.1	-0.4	0.99		-0.7	0.99	-0.2	1.4	-0.7
ENSG00000005381	MPO			0.6		0.99	0.99	0.99	0.99			-0.3	-0.6	-0.2	0.99	0.5			3.2	-0.2
ENSG00000005421	PON1	-1.4	-0.2	0.9		0.99	0.4	0.4	0.7	0.3	-0.4	-0.4	-0.5	0.99		0.99			0.99	0.99
ENSG00000005436	GCFC2	0.7	0.1	-1.8		-0.3	0.3	0.2	0.1	-0.8	-0.1	0.4	-1.0	0.1	0.99	-0.6	0.99	0.1	-2.5	0.99
ENSG00000005448	WDR54	-0.4	-0.6			0.6	0.99	-0.3	0.99	0.99	0.4	0.5	-1.6	1.5	1.3	-2.3	0.99	0.1	2.5	-0.6
ENSG00000005469	CROT	0.4	0.4	-0.1		0.99	-0.6	-0.8	0.3	-0.3	-0.5	-0.2	0.99	0.7		0.2	0.99	-0.1	-1.2	0.99
ENSG00000005471	ABCB4	-0.8		-1.0		0.99	-2.5	-2.1	0.6	-0.2	0.99	-0.2	-0.8	0.6		1.3	0.9	-0.2	-1.9	-1.1
ENSG00000005483	KMT2E	1.2	1.2			1.7	0.7	0.2	0.3	-0.4	-1.2	-0.3	3.3	-1.0		-0.4	0.99	0.3	-2.0	1.1
ENSG00000005486	RHBDD2	-1.5	-0.9			0.8	-1.0	-1.4	0.9	0.2	1.0	-0.2	-1.6	-0.2		0.99	-0.1	-0.3	-0.7	-0.6
ENSG00000005513	SOX8	-0.1	-0.3			-0.3	0.1	0.1	0.2			-0.2	-1.1		0.99	0.4	0.1		-3.1	
ENSG00000005700	IBTK	0.8	0.6	-1.2	-0.6	-1.4	-0.2	0.99	0.1	0.3	-0.4	-0.1	5.0	-0.9		-0.3	0.3	0.3	-2.0	0.8
ENSG00000005801	ZNF195	0.1	0.1	-1.1	-0.5	-0.5	-0.4	-0.3	-0.8	-1.0	-0.1	0.7	2.3	0.2	-0.3	-0.5	-0.1	-0.1	-2.0	0.4
ENSG00000005810	MYCBP2	1.0	1.0	0.8		0.9	1.4	1.2	0.3	0.7	-0.4	-0.6	3.5	0.3	0.9	0.99	0.99	-0.2	-3.6	0.8
ENSG00000005812	FBXL3	0.5	0.4			0.5	0.5	0.3	0.1	-1.2	-1.1	-0.4	2.9	-0.3	0.4	-0.4	0.2	0.2	-1.4	0.3
ENSG00000005844	ITGAL	-0.8		0.6		0.99	0.99	0.99	0.99	-2.0	0.4	-1.7	0.99		0.99	0.2		-0.4	0.9	0.2
ENSG00000005882	PDK2	-0.5	-0.2	0.9		0.99	-0.9	-0.7	0.7	0.3	0.99	-0.1	-1.7	0.1	-0.5		0.99	0.1	-0.4	-0.1
ENSG00000005884	ITGA3									0.6	0.2	-1.7		0.1	0.99		-1.4	-0.5	1.3	
ENSG00000005889	ZFX	1.0	0.6	-0.4		-0.2	-0.3	-0.3	0.1	0.99	-0.9	-0.1	2.0	-0.5	0.5	0.99	0.99	0.1	-2.7	0.99
ENSG00000005893	LAMP2	-1.2		-1.4		-0.6	0.9	0.9	0.3	0.7	0.1	-0.5	0.7	0.2	0.8	0.99	0.1	-0.2	1.0	0.2
ENSG00000005961	ITGA2B	0.3		0.8		0.99	-0.8	-0.7	-1.3	0.5	0.5	0.2	-0.6	0.5	0.4		-0.9	-0.2	4.0	
ENSG00000005981	ASB4	-0.3		0.3		0.9	0.99	0.99	0.99	2.7	0.99	0.7	-0.5	0.99			-0.5		0.9	
ENSG00000006007	GDE1			-4.3	-0.8	0.8	-0.7	-0.9	0.99			-0.6	0.8	-0.3	-0.2	0.3	0.3	-0.3	1.2	-0.5
ENSG00000006015	REX1BD	-0.3	-0.8	1.8		0.2	0.99	-0.6	-0.2	-1.2	0.99	0.9	-1.7	1.1	-1.1	-1.2	-0.6	-0.3	-1.7	-0.1
ENSG00000006016	CRLF1		-0.6	0.6		0.4	0.3	0.2	0.9	0.2	1.5	-0.3	-2.1	0.5	0.7		-0.2	-0.1	-1.4	0.2
ENSG00000006025	OSBPL7	-0.4	-0.2	0.3		0.3	-0.8	-0.9	0.1	-0.4	-0.7		1.5	1.8	-0.4	0.99	-1.3	-0.4	-0.8	-0.8
ENSG00000006042	TMEM98		-0.2			1.5	-2.4	-1.4	0.6			0.2	-2.9	1.0	0.99		0.1		2.0	0.99
ENSG00000006047	YBX2	-0.5		0.5		0.2	-0.6	-0.4	-0.6	-0.2	-0.6	2.0	-1.1		0.99		-0.9		5.4	0.1
ENSG00000006062	MAP3K14	-0.1	-0.4	0.9		0.3	0.7	0.7	0.2	1.1	-0.1	-0.6	0.99	0.6	0.8	-0.5	-1.3	0.7	1.0	-0.3
ENSG00000006071	ABCC8	-0.3	-0.4	-0.3		0.99	-0.1	0.1	0.99	2.5	1.0	2.3	-1.2		0.99	0.3	-1.9			
ENSG00000006118	TMEM132A	-0.4	-0.6	1.0		0.99	-0.3	-0.6	-1.2	0.2	0.99	1.8	-1.7	0.2	-0.4	0.3	-0.8	0.2	2.7	0.99
ENSG00000006125	AP2B1	-0.5	0.2	-0.6	-0.7	0.5	-0.7	-0.9	0.4	0.8	0.1	-0.3	0.99	-0.2	0.3	0.5	0.1	0.1	1.3	-0.3
ENSG00000006194	ZNF263	2.5	-0.6	0.1		-1.1	0.99	-0.3	-0.6	-0.4	1.5	0.4	0.9	-0.4	0.99	-1.0	-0.1	0.2	-0.5	-0.6
ENSG00000006210	CX3CL1	-0.8	-0.2	0.7		0.6	0.99	0.3	0.4			-3.0	-1.0		0.2	0.2	-0.3			0.99
ENSG00000006282	SPATA20	-1.5	-0.9	0.9		-0.6	-0.5	-0.8	-0.5	0.5	0.6	-0.5	-0.6	0.3	0.99	0.1	-0.5	-0.2	0.7	-0.3
ENSG00000006283	CACNA1G	-0.5		0.4		0.3	0.99	0.99	0.4	0.9	0.99	2.0	-1.1	0.99	0.6		-0.2	-0.4	2.9	
ENSG00000006327	TNFRSF12A		-1.1	0.4	-0.4	-0.8	0.1	0.2	-1.1	0.1	2.0	-1.6	-1.0	-1.5	0.7	1.3	-0.8	-0.1	5.7	0.1
ENSG00000006432	MAP3K9		0.1	0.5		-0.8	-0.6	-0.1	0.1	-0.6	-1.4	1.3	1.9	-1.0		0.2	0.3	-0.4	1.3	0.99
ENSG00000006451	RALA		0.5	0.99		1.1	0.7	1.1	0.2	0.2	0.99	0.2	2.4	-0.9			0.4	0.2	0.7	0.99
ENSG00000006453	BAIAP2L1	-0.4	-0.7			-0.3	-1.2	-1.0	0.2	0.1	-0.3		0.5	-0.9		0.99		0.99	1.3	0.5
ENSG00000006459	KDM7A		1.1	0.2		-1.4	0.2	-0.3	-1.4	0.3	-0.5		3.5	-2.5		-2.1	0.4	0.3	-2.6	0.5
ENSG00000006468	ETV1	0.2		-1.6	-0.2	-0.4	-0.6	-0.2	0.8	-0.3	0.3	-0.5	0.6	-0.4		0.2	0.6	-0.3	1.2	-0.2
ENSG00000006530	AGK	1.4		-0.8		0.99	-0.3	-0.3	0.99	-0.5	-0.8	0.3	-0.2	-0.4		-0.8	-0.2	0.3	0.5	
ENSG00000006534	ALDH3B1		-0.4	0.5	0.4	-0.6	-1.3	-1.5	1.4	-0.3	-0.3	-2.1	-0.8	0.1	0.99	-0.2	0.3	0.1	1.2	-0.4
ENSG00000006555	TTC22	-2.2	-0.7	0.5		-0.3	-0.4	-0.2	0.99	0.9	-0.1	0.6	-0.6	1.3	0.99				-0.4	0.4
ENSG00000006576	PHTF2	0.5		-0.9		1.3	-0.6	-0.5	1.3	0.8	-0.1	0.7	-0.5	-0.5		0.8	0.4	0.99	-0.8	-0.2
ENSG00000006606	CCL26	-0.2	-0.3			0.6	-1.6	-2.0	3.0			1.1	0.99			0.2				
ENSG00000006607	FARP2	0.6	-0.2	0.1		0.7	0.7	0.6	1.7	0.1	-1.0	0.1	-0.8	0.3	0.99	-0.6	0.4	0.1	1.5	-0.3
ENSG00000006611	USH1C	-0.6	-0.4	0.4	0.4	1.1	0.99	0.99	1.5	0.1	-0.2	3.7	-1.5		0.99			-0.6		0.99
ENSG00000006625	GGCT		-0.2	-0.4		1.0	0.8	0.9	1.6	0.7	0.5	1.4	-0.2	-0.9		-0.9	0.3	0.5	2.7	-0.4
ENSG00000006634	DBF4	0.9	-0.3	-1.5	-0.6	1.2	1.3	1.0	2.0	-0.5	0.5	1.5	0.8	0.1		-1.4	0.3		0.3	-1.0
ENSG00000006638	TBXA2R	-0.3		0.8		-0.1	-0.4	-0.3	0.1	0.7	0.1	0.8	-0.3	0.99	-0.9	0.4	0.4	-0.4	-2.1	
ENSG00000006652	IFRD1	0.6	-0.4	0.99		-2.3	0.8	0.6	-0.5	-2.6	0.99	-0.5	4.9	-1.8		0.4	0.1	0.99	0.5	0.7
ENSG00000006659	LGALS14			0.6		-0.2	0.99	-0.1	-0.3			2.0	-0.8		0.99	-0.4			3.3	0.1
ENSG00000006695	COX10	1.1	0.7	0.2		0.99	0.5	0.4	1.0	0.99	0.2		0.99	0.6	-0.5	0.4	0.2	-0.1	0.6	0.5
ENSG00000006704	GTF2IRD1	-1.0	-0.7	0.4		0.99	0.2	0.99	0.99	1.0	-0.1	0.6	-0.8	-1.7			-0.2	0.1	2.9	-0.8
ENSG00000006712	PAF1	0.2	-0.8	0.7		-0.6	0.4	0.4	0.5	0.5	1.2	0.1	0.99	-0.4	-0.4	0.99	-0.3	0.1	1.6	-0.2
ENSG00000006740	ARHGAP44			0.8		0.99	-0.1	-0.2	0.99	-0.7	-1.6	-1.1	-0.3	0.4	0.99				-1.3	0.99
ENSG00000006744	ELAC2	0.5	-0.5	0.1		0.4	0.6	0.6	1.3	-0.4	-0.1	-0.4	-1.2	1.3	-0.8	-0.4	-0.1	-0.2	0.8	-0.5
ENSG00000006747	SCIN			0.6		-0.2	0.99	0.99	0.5	0.99	2.3	0.7	0.99	0.99		0.6	0.2	0.2	-0.6	0.5
ENSG00000006756	ARSD	-0.4	-0.3	0.9		0.5	-1.4	-1.1	-0.6			-0.6	-0.1	-0.2	0.3	-0.3	-0.2	-0.3	0.1	-0.4
ENSG00000006757	PNPLA4	-0.1	-0.7	0.1		-0.2	-0.1	-0.1	-0.3	-0.3	1.4	-0.3	-0.7	0.3	0.99			-0.2	0.5	-0.7
ENSG00000006831	ADIPOR2			-0.5		1.2	0.7	0.8	1.1	0.4	-0.4	-1.0	0.5	-0.2		-0.5	0.2	0.1	1.3	-0.4
ENSG00000006837	CDKL3	0.5				0.99	-0.3	0.99	-0.3	0.8	2.0	1.4	0.99	-0.4			-0.1	0.2	0.5	0.3
ENSG00000007001	UPP2	-1.9				0.99	0.2	0.4	0.1			-0.6	0.99	0.99	0.99	0.99			0.99	0.99
ENSG00000007038	PRSS21	-0.2		0.4		-1.8	0.6	0.99	-0.1	0.3	0.8	0.6	-0.4	1.4	0.99	0.8			1.7	0.1
ENSG00000007047	MARK4	-0.4	-0.9	1.6	0.99	-0.2	0.5	1.0	1.2	0.1	-0.4	0.5	-1.2	0.1	0.5		-0.2	0.1	1.0	-0.7
ENSG00000007062	PROM1	-0.2	0.4	0.1		0.99	0.99	0.99	-0.2	3.1	0.9	2.1	3.1				0.4		0.99	0.99
ENSG00000007080	CCDC124	0.3	-0.9			0.8	1.6	1.2	2.8	1.0	2.0	0.5	-1.8	-0.1	-0.8	0.9	-0.4	0.4	1.5	-0.5
